order_item_id,order_id,product_id,quantity,unit_price,total_price
OI_338,OR_338,P_4750,7,83.71,585.97
OI_339,OR_339,P_3956,3,78.98,236.94
OI_340,OR_340,P_3402,9,46.0,414.0
OI_341,OR_341,P_8436,7,88.28,617.96
OI_342,OR_342,P_7709,7,16.56,115.92
OI_343,OR_343,P_3100,9,85.88,772.92
OI_344,OR_344,P_1811,9,13.9,125.1
OI_345,OR_345,P_1900,10,45.02,450.2
OI_346,OR_346,P_276,3,88.25,264.75
OI_347,OR_347,P_645,8,79.6,636.8
OI_348,OR_348,P_4036,2,97.64,195.28
OI_349,OR_349,P_824,5,95.38,476.9
OI_350,OR_350,P_3013,9,50.11,450.99
OI_351,OR_351,P_8984,10,66.94,669.4
OI_352,OR_352,P_3685,6,45.75,274.5
OI_353,OR_353,P_4872,10,29.73,297.3
OI_354,OR_354,P_4006,9,62.16,559.44
OI_355,OR_355,P_8767,6,42.42,254.52
OI_356,OR_356,P_2968,5,85.52,427.6
OI_357,OR_357,P_3463,8,89.4,715.2
OI_358,OR_358,P_200,2,15.64,31.28
OI_359,OR_359,P_4288,3,90.74,272.22
OI_360,OR_360,P_9480,6,72.9,437.4
OI_361,OR_361,P_6717,4,23.69,94.76
OI_362,OR_362,P_2563,10,43.28,432.8
OI_363,OR_363,P_3304,10,93.57,935.7
OI_364,OR_364,P_5070,7,90.13,630.91
OI_365,OR_365,P_8210,6,13.33,79.98
OI_366,OR_366,P_3946,4,59.32,237.28
OI_367,OR_367,P_5463,3,64.37,193.11
OI_368,OR_368,P_6660,3,44.78,134.34
OI_369,OR_369,P_7430,3,26.16,78.48
OI_370,OR_370,P_5315,6,40.23,241.38
OI_371,OR_371,P_3280,6,92.04,552.24
OI_372,OR_372,P_8610,2,66.65,133.3
OI_373,OR_373,P_279,3,25.74,77.22
OI_374,OR_374,P_5419,1,35.08,35.08
OI_375,OR_375,P_3550,10,56.91,569.1
OI_376,OR_376,P_8624,5,15.37,76.85
OI_377,OR_377,P_6869,3,10.61,31.83
OI_378,OR_378,P_7036,6,29.24,175.44
OI_379,OR_379,P_5923,8,87.35,698.8
OI_380,OR_380,P_5642,4,98.51,394.04
OI_381,OR_381,P_7556,5,85.99,429.95
OI_382,OR_382,P_8509,2,44.23,88.46
OI_383,OR_383,P_3250,7,75.53,528.71
OI_384,OR_384,P_7722,5,47.58,237.9
OI_385,OR_385,P_1524,2,10.59,21.18
OI_386,OR_386,P_2639,7,57.58,403.06
OI_387,OR_387,P_6223,1,63.62,63.62
OI_388,OR_388,P_4456,3,73.21,219.63
OI_389,OR_389,P_9464,3,77.87,233.61
OI_390,OR_390,P_7254,5,84.58,422.9
OI_391,OR_391,P_8903,1,99.6,99.6
OI_392,OR_392,P_252,6,28.05,168.3
OI_393,OR_393,P_6664,10,56.24,562.4
OI_394,OR_394,P_1068,3,45.17,135.51
OI_395,OR_395,P_7349,7,70.25,491.75
OI_396,OR_396,P_7640,4,62.05,248.2
OI_397,OR_397,P_8226,10,99.43,994.3
OI_398,OR_398,P_3848,2,20.0,40.0
OI_399,OR_399,P_6830,2,67.82,135.64
OI_400,OR_400,P_6580,3,34.77,104.31
OI_401,OR_401,P_8067,9,49.99,449.91
OI_402,OR_402,P_6923,7,89.32,625.24
OI_403,OR_403,P_5416,10,13.33,133.3
OI_404,OR_404,P_4737,3,71.99,215.97
OI_405,OR_405,P_2727,8,95.07,760.56
OI_406,OR_406,P_8534,7,74.48,521.36
OI_407,OR_407,P_6581,5,53.32,266.6
OI_408,OR_408,P_9455,9,44.27,398.43
OI_409,OR_409,P_4312,3,36.18,108.54
OI_410,OR_410,P_4547,9,15.24,137.16
OI_411,OR_411,P_2498,3,50.37,151.11
OI_412,OR_412,P_709,4,87.73,350.92
OI_413,OR_413,P_8295,1,40.14,40.14
OI_414,OR_414,P_2198,7,55.44,388.08
OI_415,OR_415,P_4909,9,52.23,470.07
OI_416,OR_416,P_1701,10,19.75,197.5
OI_417,OR_417,P_9602,8,79.47,635.76
OI_418,OR_418,P_952,8,81.16,649.28
OI_419,OR_419,P_7721,6,16.53,99.18
OI_420,OR_420,P_1370,6,28.01,168.06
OI_421,OR_421,P_5853,5,77.01,385.05
OI_422,OR_422,P_5462,10,43.41,434.1
OI_423,OR_423,P_7827,1,68.1,68.1
OI_424,OR_424,P_4184,2,70.14,140.28
OI_425,OR_425,P_6469,4,33.64,134.56
OI_426,OR_426,P_5000,1,41.62,41.62
OI_427,OR_427,P_4789,9,89.65,806.85
OI_428,OR_428,P_3230,2,30.52,61.04
OI_429,OR_429,P_1372,8,92.33,738.64
OI_430,OR_430,P_2794,2,50.31,100.62
OI_431,OR_431,P_2625,1,36.46,36.46
OI_432,OR_432,P_9452,10,96.37,963.7
OI_433,OR_433,P_6857,4,43.67,174.68
OI_434,OR_434,P_2808,6,54.1,324.6
OI_435,OR_435,P_4388,10,23.77,237.7
OI_436,OR_436,P_2831,5,31.47,157.35
OI_437,OR_437,P_2070,6,67.66,405.96
OI_438,OR_438,P_4873,10,38.28,382.8
OI_439,OR_439,P_2240,4,95.32,381.28
OI_440,OR_440,P_8345,6,92.91,557.46
OI_441,OR_441,P_6670,5,71.18,355.9
OI_442,OR_442,P_3975,5,11.25,56.25
OI_443,OR_443,P_4285,4,60.02,240.08
OI_444,OR_444,P_8851,8,45.64,365.12
OI_445,OR_445,P_3415,7,39.68,277.76
OI_446,OR_446,P_8235,3,59.19,177.57
OI_447,OR_447,P_2137,10,28.34,283.4
OI_448,OR_448,P_250,7,57.25,400.75
OI_449,OR_449,P_2556,1,62.23,62.23
OI_450,OR_450,P_5452,1,84.08,84.08
OI_451,OR_451,P_8471,2,23.68,47.36
OI_452,OR_452,P_7365,9,21.71,195.39
OI_453,OR_453,P_8923,10,97.41,974.1
OI_454,OR_454,P_9460,4,32.16,128.64
OI_455,OR_455,P_2223,1,33.14,33.14
OI_456,OR_456,P_5587,8,51.67,413.36
OI_457,OR_457,P_7360,2,70.69,141.38
OI_458,OR_458,P_2677,5,62.16,310.8
OI_459,OR_459,P_2513,6,29.69,178.14
OI_460,OR_460,P_3664,4,73.85,295.4
OI_461,OR_461,P_2791,6,63.39,380.34
OI_462,OR_462,P_9074,10,18.18,181.8
OI_463,OR_463,P_2804,10,39.11,391.1
OI_464,OR_464,P_9,9,83.71,753.39
OI_465,OR_465,P_9262,1,12.0,12.0
OI_466,OR_466,P_9295,3,27.0,81.0
OI_467,OR_467,P_8482,3,23.95,71.85
OI_468,OR_468,P_4946,9,19.5,175.5
OI_469,OR_469,P_5929,8,79.9,639.2
OI_470,OR_470,P_7336,7,55.43,388.01
OI_471,OR_471,P_5026,6,49.43,296.58
OI_472,OR_472,P_838,4,45.31,181.24
OI_473,OR_473,P_8740,8,53.42,427.36
OI_474,OR_474,P_6797,7,46.32,324.24
OI_475,OR_475,P_5179,2,30.91,61.82
OI_476,OR_476,P_244,9,96.87,871.83
OI_477,OR_477,P_1595,9,69.42,624.78
OI_478,OR_478,P_3201,7,67.28,470.96
OI_479,OR_479,P_639,1,60.89,60.89
OI_480,OR_480,P_7055,8,17.06,136.48
OI_481,OR_481,P_7065,1,13.82,13.82
OI_482,OR_482,P_9730,3,38.45,115.35
OI_483,OR_483,P_3413,3,34.87,104.61
OI_484,OR_484,P_5165,2,49.04,98.08
OI_485,OR_485,P_9670,2,56.07,112.14
OI_486,OR_486,P_7409,9,51.46,463.14
OI_487,OR_487,P_1954,7,84.99,594.93
OI_488,OR_488,P_8330,1,98.61,98.61
OI_489,OR_489,P_4675,2,94.09,188.18
OI_490,OR_490,P_8589,1,35.05,35.05
OI_491,OR_491,P_4992,6,76.81,460.86
OI_492,OR_492,P_953,6,54.19,325.14
OI_493,OR_493,P_1626,6,90.54,543.24
OI_494,OR_494,P_553,8,92.93,743.44
OI_495,OR_495,P_1929,5,57.95,289.75
OI_496,OR_496,P_217,9,72.89,656.01
OI_497,OR_497,P_9365,9,65.79,592.11
OI_498,OR_498,P_4679,7,94.24,659.68
OI_499,OR_499,P_9173,6,30.6,183.6
OI_500,OR_500,P_5296,7,88.54,619.78
OI_501,OR_501,P_5685,7,78.84,551.88
OI_502,OR_502,P_3253,3,63.31,189.93
OI_503,OR_503,P_8083,3,81.07,243.21
OI_504,OR_504,P_4616,9,22.26,200.34
OI_505,OR_505,P_3793,6,23.1,138.6
OI_506,OR_506,P_418,1,39.12,39.12
OI_507,OR_507,P_8041,1,20.41,20.41
OI_508,OR_508,P_4754,2,35.84,71.68
OI_509,OR_509,P_92,8,50.87,406.96
OI_510,OR_510,P_3122,5,55.58,277.9
OI_511,OR_511,P_8365,1,12.31,12.31
OI_512,OR_512,P_307,10,93.26,932.6
OI_513,OR_513,P_6267,7,36.98,258.86
OI_514,OR_514,P_5592,7,34.44,241.08
OI_515,OR_515,P_6799,9,96.82,871.38
OI_516,OR_516,P_4052,2,18.5,37.0
OI_517,OR_517,P_7097,8,93.32,746.56
OI_518,OR_518,P_7157,5,17.4,87.0
OI_519,OR_519,P_250,9,70.55,634.95
OI_520,OR_520,P_4703,7,49.31,345.17
OI_521,OR_521,P_8964,2,28.84,57.68
OI_522,OR_522,P_1156,6,79.58,477.48
OI_523,OR_523,P_7217,9,37.12,334.08
OI_524,OR_524,P_2279,1,63.69,63.69
OI_525,OR_525,P_7891,2,53.73,107.46
OI_526,OR_526,P_2969,10,12.92,129.2
OI_527,OR_527,P_5761,2,11.91,23.82
OI_528,OR_528,P_8037,4,36.78,147.12
OI_529,OR_529,P_2307,6,86.66,519.96
OI_530,OR_530,P_7542,10,95.04,950.4
OI_531,OR_531,P_4616,3,41.32,123.96
OI_532,OR_532,P_2342,9,70.14,631.26
OI_533,OR_533,P_3630,7,74.48,521.36
OI_534,OR_534,P_8789,10,36.9,369.0
OI_535,OR_535,P_4980,7,27.06,189.42
OI_536,OR_536,P_1310,8,95.29,762.32
OI_537,OR_537,P_1195,9,14.39,129.51
OI_538,OR_538,P_1482,3,69.92,209.76
OI_539,OR_539,P_5218,5,26.8,134.0
OI_540,OR_540,P_2946,2,18.2,36.4
OI_541,OR_541,P_9089,1,32.42,32.42
OI_542,OR_542,P_9066,8,82.47,659.76
OI_543,OR_543,P_3168,5,66.16,330.8
OI_544,OR_544,P_5849,4,29.47,117.88
OI_545,OR_545,P_1887,4,56.74,226.96
OI_546,OR_546,P_7955,1,30.05,30.05
OI_547,OR_547,P_974,7,26.08,182.56
OI_548,OR_548,P_6676,3,30.67,92.01
OI_549,OR_549,P_6404,7,21.09,147.63
OI_550,OR_550,P_1068,2,16.91,33.82
OI_551,OR_551,P_3723,7,86.07,602.49
OI_552,OR_552,P_4557,9,81.81,736.29
OI_553,OR_553,P_846,4,67.44,269.76
OI_554,OR_554,P_1278,4,59.85,239.4
OI_555,OR_555,P_47,4,89.75,359.0
OI_556,OR_556,P_683,6,16.26,97.56
OI_557,OR_557,P_4225,3,50.22,150.66
OI_558,OR_558,P_5746,6,90.89,545.34
OI_559,OR_559,P_867,8,67.56,540.48
