sales_id,order_id,item_name_id,quantity,unit_price,overall_price,size,category,components,item_name,employee_id
SI_47,OR_47,item_147,195,82.04,15997.8,XL,Category A,"Fan, Socket/Outlet plug, Ceiling Rose, LED Bulb, Holders, Switches, Main Switch",PM,emp_548
SI_48,OR_48,item_148,613,16.98,10408.74,L,Category A,Cables,news,emp_2181
SI_49,OR_49,item_149,773,645.85,499242.05,L,Category C,"Socket/Outlet plug, Switches, LED Bulb",do,emp_1971
SI_50,OR_50,item_150,664,841.02,558437.28,M,Category B,"LED Bulb, Switches, Socket/Outlet plug, Holders",realize,emp_1538
SI_51,OR_51,item_151,521,585.77,305186.17,L,Category B,"Main Switch, Switches, Cables, Ceiling Rose, Socket/Outlet plug",return,emp_491
SI_52,OR_52,item_152,178,867.9,154486.2,L,Category C,"LED Bulb, Socket/Outlet plug, Switches, Ceiling Rose, Cables",form,emp_2491
SI_53,OR_53,item_153,946,577.04,545879.84,S,Category A,"LED Bulb, Holders, Fan, Ceiling Rose",decade,emp_385
SI_54,OR_54,item_154,719,164.54,118304.26,XL,Category B,"LED Bulb, Switches, Fan, Main Switch, Socket/Outlet plug, Holders, Ceiling Rose",simple,emp_2649
SI_55,OR_55,item_155,826,575.82,475627.32,L,Category C,Holders,change,emp_2614
SI_56,OR_56,item_156,824,129.03,106320.72,S,Category C,"Ceiling Rose, LED Bulb",play,emp_2254
SI_57,OR_57,item_157,808,709.8,573518.4,L,Category A,"Holders, LED Bulb, Ceiling Rose, Switches, Main Switch",hope,emp_1561
SI_58,OR_58,item_158,365,982.81,358725.65,XL,Category C,"Fan, LED Bulb, Main Switch",nothing,emp_2461
SI_59,OR_59,item_159,615,670.33,412252.95,XXL,Category B,"Socket/Outlet plug, Main Switch, Switches, Fan, LED Bulb, Ceiling Rose",open,emp_824
SI_60,OR_60,item_160,322,110.37,35539.14,L,Category C,"Main Switch, Socket/Outlet plug, Fan",there,emp_1375
SI_61,OR_61,item_161,491,704.21,345767.11,L,Category A,"Switches, Cables, LED Bulb, Socket/Outlet plug, Main Switch, Holders, Ceiling Rose, Fan",certainly,emp_2508
SI_62,OR_62,item_162,588,425.28,250064.64,XXL,Category A,"Main Switch, Holders, Switches, LED Bulb, Cables",note,emp_237
SI_63,OR_63,item_163,656,83.54,54802.24,L,Category A,"Socket/Outlet plug, Switches",avoid,emp_395
SI_64,OR_64,item_164,338,623.86,210864.68,XXL,Category C,"Main Switch, Cables, Switches, Holders, Ceiling Rose",government,emp_2402
SI_65,OR_65,item_165,364,515.07,187485.48,XXL,Category C,"Holders, Main Switch",lot,emp_1831
SI_66,OR_66,item_166,253,614.21,155395.13,S,Category B,"Ceiling Rose, Fan, LED Bulb, Holders, Socket/Outlet plug",seat,emp_2058
SI_67,OR_67,item_167,410,55.24,22648.4,M,Category A,"Main Switch, Ceiling Rose",take,emp_725
SI_68,OR_68,item_168,378,777.08,293736.24,L,Category B,"Main Switch, Fan, Switches, LED Bulb, Socket/Outlet plug, Ceiling Rose, Holders, Cables",place,emp_2260
SI_69,OR_69,item_169,172,659.71,113470.12,L,Category A,"Ceiling Rose, Cables, LED Bulb",past,emp_2287
SI_70,OR_70,item_170,837,61.94,51843.78,L,Category B,"Cables, Holders, Switches, Fan, LED Bulb, Socket/Outlet plug, Ceiling Rose, Main Switch",whom,emp_2665
SI_71,OR_71,item_171,726,850.63,617557.38,XXL,Category A,"Cables, Socket/Outlet plug, Main Switch, Switches, Fan, LED Bulb",guess,emp_2710
SI_72,OR_72,item_172,950,970.53,922003.5,S,Category B,"Main Switch, Ceiling Rose",wish,emp_2467
SI_73,OR_73,item_173,942,123.64,116468.88,XL,Category B,"Main Switch, Cables",lay,emp_2337
SI_74,OR_74,item_174,576,837.85,482601.6,XL,Category B,"Ceiling Rose, Socket/Outlet plug, Cables, Holders",right,emp_2558
SI_75,OR_75,item_175,278,829.33,230553.74,XL,Category A,Holders,billion,emp_1988
SI_76,OR_76,item_176,516,193.19,99686.04,M,Category C,"LED Bulb, Cables, Fan",player,emp_552
SI_77,OR_77,item_177,811,423.05,343093.55,S,Category A,"Main Switch, Ceiling Rose, Switches, Holders, Fan",dinner,emp_1562
SI_78,OR_78,item_178,835,666.7,556694.5,M,Category C,"Fan, Switches, Cables, Holders",time,emp_2224
SI_79,OR_79,item_179,149,915.37,136390.13,XL,Category B,"Ceiling Rose, Socket/Outlet plug, Holders, Cables, Main Switch, LED Bulb, Switches, Fan",thousand,emp_1361
SI_80,OR_80,item_180,552,165.39,91295.28,S,Category C,"Switches, Cables, LED Bulb, Fan, Main Switch, Ceiling Rose, Holders, Socket/Outlet plug",size,emp_2504
SI_81,OR_81,item_181,131,943.87,123646.97,XXL,Category A,"Socket/Outlet plug, Switches, Main Switch",girl,emp_1737
SI_82,OR_82,item_182,670,985.82,660499.4,S,Category B,"Fan, Switches, Holders, LED Bulb, Main Switch, Ceiling Rose",eat,emp_1942
SI_83,OR_83,item_183,147,794.59,116804.73,XXL,Category C,"Holders, Fan, Socket/Outlet plug, LED Bulb, Ceiling Rose, Switches, Main Switch, Cables",particular,emp_1142
SI_84,OR_84,item_184,548,82.99,45478.52,XXL,Category C,"Ceiling Rose, Holders",rich,emp_1567
SI_85,OR_85,item_185,764,393.02,300267.28,L,Category A,"Cables, Switches, Socket/Outlet plug, Holders, LED Bulb, Fan, Ceiling Rose",treat,emp_2002
SI_86,OR_86,item_186,566,430.85,243861.1,S,Category C,"Switches, Fan, Holders",couple,emp_167
SI_87,OR_87,item_187,539,878.15,473322.85,XXL,Category C,"LED Bulb, Main Switch",chair,emp_676
SI_88,OR_88,item_188,797,803.77,640604.69,S,Category A,"Main Switch, Ceiling Rose, Switches, Holders",effect,emp_1561
SI_89,OR_89,item_189,721,320.4,231008.4,L,Category A,"Socket/Outlet plug, Ceiling Rose, Holders, Cables, Main Switch, Fan",prove,emp_2450
SI_90,OR_90,item_190,270,982.67,265320.9,XXL,Category A,"Fan, Holders, Switches, Ceiling Rose, Cables",rule,emp_1133
SI_91,OR_91,item_191,161,234.08,37686.88,M,Category A,"Holders, LED Bulb, Main Switch",color,emp_2179
SI_92,OR_92,item_192,343,799.66,274283.38,XXL,Category B,"Main Switch, Cables",middle,emp_554
SI_93,OR_93,item_193,811,696.34,564731.74,XXL,Category B,"Cables, Main Switch, Fan, Socket/Outlet plug, Switches, Ceiling Rose, LED Bulb, Holders",thing,emp_1030
SI_94,OR_94,item_194,803,984.88,790858.64,XL,Category B,"Cables, Ceiling Rose, Socket/Outlet plug, Holders",free,emp_268
SI_95,OR_95,item_195,446,308.08,137403.68,L,Category B,"Fan, Cables, Socket/Outlet plug, Switches, LED Bulb, Ceiling Rose",city,emp_698
SI_96,OR_96,item_196,388,223.49,86714.12,M,Category B,"LED Bulb, Fan, Cables, Holders, Socket/Outlet plug, Switches, Ceiling Rose",tough,emp_2176
SI_97,OR_97,item_197,744,545.54,405881.76,L,Category B,"Switches, Ceiling Rose, LED Bulb, Cables",pretty,emp_1994
SI_98,OR_98,item_198,552,897.9,495640.8,XL,Category A,"Socket/Outlet plug, Holders, Main Switch, Fan, Ceiling Rose, Switches",work,emp_956
SI_99,OR_99,item_199,791,267.03,211220.73,M,Category C,LED Bulb,yourself,emp_2370
SI_100,OR_100,item_200,130,459.22,59698.6,XL,Category C,"Main Switch, Ceiling Rose",off,emp_1536
SI_101,OR_101,item_201,797,196.88,156913.36,XL,Category B,"Fan, Socket/Outlet plug",measure,emp_1894
SI_102,OR_102,item_202,130,830.83,108007.9,L,Category C,"Fan, Cables, Holders, Ceiling Rose, Socket/Outlet plug, Switches",sound,emp_2091
SI_103,OR_103,item_203,219,130.32,28540.08,L,Category A,"LED Bulb, Socket/Outlet plug",look,emp_1819
SI_104,OR_104,item_204,352,743.86,261838.72,S,Category C,"LED Bulb, Cables, Main Switch",generation,emp_1708
SI_105,OR_105,item_205,280,978.07,273859.6,XXL,Category A,"Fan, Cables",husband,emp_1982
SI_106,OR_106,item_206,223,542.41,120957.43,XXL,Category B,Switches,can,emp_254
SI_107,OR_107,item_207,952,249.2,237238.4,L,Category A,"Fan, Ceiling Rose, LED Bulb, Holders",interesting,emp_777
SI_108,OR_108,item_208,705,39.41,27784.05,S,Category A,"Socket/Outlet plug, Main Switch",report,emp_1493
SI_109,OR_109,item_209,789,505.59,398910.51,M,Category A,"Fan, Socket/Outlet plug, Cables, LED Bulb, Ceiling Rose, Main Switch, Holders, Switches",make,emp_1186
SI_110,OR_110,item_210,388,86.4,33523.2,L,Category C,"Fan, Main Switch",for,emp_834
SI_111,OR_111,item_211,583,142.49,83071.67,S,Category C,"Main Switch, LED Bulb, Socket/Outlet plug, Fan",majority,emp_520
SI_112,OR_112,item_212,656,570.66,374352.96,XL,Category A,"Ceiling Rose, Main Switch",simply,emp_1165
SI_113,OR_113,item_213,867,465.73,403787.91,XL,Category A,"Holders, Fan",during,emp_1568
SI_114,OR_114,item_214,725,818.59,593477.75,XL,Category C,"Ceiling Rose, Main Switch, Holders, LED Bulb, Fan, Cables",no,emp_427
SI_115,OR_115,item_215,320,754.98,241593.6,S,Category C,"Switches, Main Switch",national,emp_285
SI_116,OR_116,item_216,759,588.56,446717.04,XXL,Category C,"Cables, Ceiling Rose, Holders, Socket/Outlet plug, LED Bulb, Fan",leg,emp_223
SI_117,OR_117,item_217,278,835.41,232243.98,S,Category B,"Cables, Main Switch, Socket/Outlet plug, LED Bulb, Ceiling Rose, Holders",whatever,emp_1704
SI_118,OR_118,item_218,766,288.34,220868.44,XL,Category C,"Main Switch, Ceiling Rose, Switches, LED Bulb, Cables, Holders, Fan",loss,emp_1782
SI_119,OR_119,item_219,191,890.21,170030.11,M,Category B,"Switches, Ceiling Rose, Main Switch, Socket/Outlet plug, Holders, Fan",nation,emp_642
SI_120,OR_120,item_220,301,141.03,42450.03,L,Category A,"Ceiling Rose, Fan, Cables, Holders, Main Switch, Socket/Outlet plug, LED Bulb, Switches",determine,emp_814
SI_121,OR_121,item_221,177,297.88,52724.76,XXL,Category B,"Socket/Outlet plug, LED Bulb, Cables, Holders",lot,emp_1368
SI_122,OR_122,item_222,248,457.05,113348.4,S,Category C,"Fan, Switches, Socket/Outlet plug",against,emp_2033
SI_123,OR_123,item_223,636,741.08,471326.88,XL,Category B,"Socket/Outlet plug, Fan, Ceiling Rose, Cables",threat,emp_1879
SI_124,OR_124,item_224,293,833.98,244356.14,XXL,Category C,Ceiling Rose,statement,emp_955
SI_125,OR_125,item_225,334,558.68,186599.12,XXL,Category C,"Holders, LED Bulb",history,emp_1887
SI_126,OR_126,item_226,971,32.74,31790.54,M,Category A,"Socket/Outlet plug, LED Bulb, Holders, Switches, Fan",Republican,emp_1524
SI_127,OR_127,item_227,339,608.83,206393.37,XXL,Category A,"Main Switch, Fan, Ceiling Rose",decision,emp_1356
SI_128,OR_128,item_228,765,394.9,302098.5,S,Category A,"Holders, Socket/Outlet plug, Cables, Ceiling Rose",create,emp_2442
SI_129,OR_129,item_229,837,643.59,538684.83,M,Category A,"LED Bulb, Fan, Holders, Cables, Switches",forward,emp_1476
SI_130,OR_130,item_230,907,300.76,272789.32,XL,Category C,"Switches, Holders, LED Bulb, Fan, Ceiling Rose",way,emp_2213
SI_131,OR_131,item_231,797,956.15,762051.55,M,Category C,"Cables, Main Switch, Switches, Holders, Fan, Ceiling Rose, LED Bulb",despite,emp_140
SI_132,OR_132,item_232,267,401.89,107304.63,XL,Category B,"Switches, LED Bulb, Fan, Socket/Outlet plug",lead,emp_650
SI_133,OR_133,item_233,670,929.63,622852.1,M,Category C,"Ceiling Rose, LED Bulb, Main Switch, Socket/Outlet plug, Switches, Fan",policy,emp_1429
SI_134,OR_134,item_234,214,527.24,112829.36,XL,Category C,"Socket/Outlet plug, LED Bulb, Main Switch, Switches, Cables",thing,emp_1005
SI_135,OR_135,item_235,158,202.62,32013.96,XXL,Category C,"Socket/Outlet plug, Cables, Switches, Holders, Fan, Ceiling Rose",task,emp_806
SI_136,OR_136,item_236,571,967.28,552316.88,M,Category C,"LED Bulb, Holders",poor,emp_563
SI_137,OR_137,item_237,220,782.89,172235.8,XL,Category B,Ceiling Rose,thank,emp_2247
SI_138,OR_138,item_238,988,247.25,244283.0,S,Category A,"Fan, Socket/Outlet plug, Holders, Ceiling Rose, Cables",back,emp_1550
SI_139,OR_139,item_239,842,280.93,236543.06,S,Category B,"Ceiling Rose, Main Switch",oil,emp_1790
SI_140,OR_140,item_240,906,331.92,300719.52,XL,Category A,"Socket/Outlet plug, Main Switch, Ceiling Rose, Cables, Switches, Holders, Fan",recognize,emp_340
SI_141,OR_141,item_241,317,797.06,252668.02,XL,Category A,"Ceiling Rose, Socket/Outlet plug, Switches, Main Switch",several,emp_1431
SI_142,OR_142,item_242,185,903.25,167101.25,M,Category C,"Holders, Fan, Cables, Socket/Outlet plug, LED Bulb, Ceiling Rose, Main Switch",six,emp_400
SI_143,OR_143,item_243,952,683.23,650434.96,XXL,Category B,Holders,almost,emp_2456
SI_144,OR_144,item_244,322,646.0,208012.0,L,Category A,"Ceiling Rose, Cables, Fan, Holders, Socket/Outlet plug, Main Switch",reveal,emp_2470
SI_145,OR_145,item_245,386,783.96,302608.56,S,Category A,"Cables, Ceiling Rose, Holders, Switches, LED Bulb, Socket/Outlet plug, Main Switch, Fan",surface,emp_1070
SI_146,OR_146,item_246,831,589.77,490098.87,S,Category A,"Fan, Ceiling Rose, Cables, Switches, Holders, Socket/Outlet plug, Main Switch",discuss,emp_218
SI_147,OR_147,item_247,852,725.5,618126.0,XL,Category C,"Cables, Main Switch, Switches, Holders, Fan, Socket/Outlet plug",whether,emp_1851
SI_148,OR_148,item_248,483,374.98,181115.34,XXL,Category A,"Cables, LED Bulb, Holders, Fan",this,emp_1281
SI_149,OR_149,item_249,411,24.2,9946.2,M,Category B,"Cables, Switches",town,emp_2528
SI_150,OR_150,item_250,784,390.75,306348.0,M,Category C,"Main Switch, Ceiling Rose, Switches",wish,emp_1439
SI_151,OR_151,item_251,329,692.8,227931.2,L,Category A,"Ceiling Rose, Main Switch",by,emp_765
SI_152,OR_152,item_252,884,838.54,741269.36,S,Category C,"Main Switch, Cables, Holders, Ceiling Rose, LED Bulb, Socket/Outlet plug",collection,emp_2682
SI_153,OR_153,item_253,668,399.86,267106.48,S,Category C,"Cables, Switches, Fan, Holders, LED Bulb, Socket/Outlet plug",decision,emp_1295
SI_154,OR_154,item_254,168,757.72,127296.96,M,Category C,"Socket/Outlet plug, Cables, LED Bulb, Holders, Ceiling Rose, Fan, Main Switch, Switches",bank,emp_1612
SI_155,OR_155,item_255,152,543.29,82580.08,L,Category B,"Main Switch, Fan, Holders, Cables, Socket/Outlet plug, Ceiling Rose, LED Bulb",past,emp_1654
SI_156,OR_156,item_256,896,985.15,882694.4,XXL,Category C,"LED Bulb, Fan, Cables",common,emp_543
SI_157,OR_157,item_257,246,305.52,75157.92,M,Category B,"Socket/Outlet plug, Main Switch, Cables, Fan, LED Bulb",enough,emp_2475
SI_158,OR_158,item_258,163,493.4,80424.2,XXL,Category A,"LED Bulb, Main Switch, Switches, Ceiling Rose",though,emp_1185
SI_159,OR_159,item_259,421,480.12,202130.52,XL,Category C,"Fan, Cables, Socket/Outlet plug",news,emp_2319
SI_160,OR_160,item_260,268,961.73,257743.64,L,Category C,Ceiling Rose,vote,emp_2088
SI_161,OR_161,item_261,563,791.82,445794.66,XXL,Category B,"Holders, Main Switch, Ceiling Rose, Fan, LED Bulb, Cables, Switches, Socket/Outlet plug",city,emp_1712
SI_162,OR_162,item_262,267,967.78,258397.26,M,Category B,"Fan, LED Bulb, Main Switch, Socket/Outlet plug, Ceiling Rose, Cables, Switches",voice,emp_1220
SI_163,OR_163,item_263,646,958.13,618951.98,XL,Category A,"Cables, Fan, Holders, Ceiling Rose, Main Switch, Socket/Outlet plug, LED Bulb",their,emp_400
SI_164,OR_164,item_264,351,867.59,304524.09,XXL,Category B,"LED Bulb, Socket/Outlet plug, Fan, Cables, Switches",management,emp_2316
SI_165,OR_165,item_265,154,745.17,114756.18,XL,Category C,"Fan, Switches, Socket/Outlet plug, Main Switch, Cables, Holders, Ceiling Rose",attack,emp_1019
SI_166,OR_166,item_266,779,897.16,698887.64,M,Category C,"Holders, Main Switch, Switches",main,emp_1104
SI_167,OR_167,item_267,903,845.41,763405.23,XXL,Category C,"Main Switch, Fan, Ceiling Rose, Holders, LED Bulb, Cables, Switches, Socket/Outlet plug",Democrat,emp_2698
SI_168,OR_168,item_268,565,461.13,260538.45,XL,Category C,"Fan, Ceiling Rose, LED Bulb, Socket/Outlet plug, Switches, Main Switch",especially,emp_463
SI_169,OR_169,item_269,416,201.6,83865.6,XL,Category A,"Main Switch, Cables, Switches, Holders, Fan, Socket/Outlet plug",eat,emp_2585
SI_170,OR_170,item_270,706,479.41,338463.46,XXL,Category A,"Ceiling Rose, Switches, Main Switch, Cables",general,emp_229
SI_171,OR_171,item_271,255,837.24,213496.2,XL,Category C,"Ceiling Rose, Fan",human,emp_571
SI_172,OR_172,item_272,998,770.55,769008.9,XXL,Category A,Ceiling Rose,save,emp_1344
SI_173,OR_173,item_273,964,226.32,218172.48,S,Category C,"Ceiling Rose, Fan",hand,emp_951
SI_174,OR_174,item_274,736,47.31,34820.16,XL,Category A,"Main Switch, Switches",push,emp_946
SI_175,OR_175,item_275,839,30.39,25497.21,M,Category C,"Cables, LED Bulb, Main Switch, Ceiling Rose",professional,emp_1212
SI_176,OR_176,item_276,939,32.69,30695.91,XXL,Category C,"Main Switch, LED Bulb, Fan, Cables, Ceiling Rose",daughter,emp_1646
SI_177,OR_177,item_277,224,776.37,173906.88,M,Category B,"LED Bulb, Ceiling Rose, Switches, Socket/Outlet plug, Fan, Main Switch",until,emp_2583
SI_178,OR_178,item_278,263,514.77,135384.51,XXL,Category A,Switches,night,emp_1783
SI_179,OR_179,item_279,121,24.41,2953.61,L,Category B,"Switches, LED Bulb, Socket/Outlet plug, Fan, Holders, Ceiling Rose",month,emp_464
SI_180,OR_180,item_280,808,956.24,772641.92,M,Category C,"Switches, Socket/Outlet plug, Ceiling Rose",pattern,emp_2485
SI_181,OR_181,item_281,834,519.7,433429.8,S,Category B,Holders,nor,emp_427
SI_182,OR_182,item_282,167,371.19,61988.73,XL,Category C,"Switches, Socket/Outlet plug, Holders",box,emp_1127
SI_183,OR_183,item_283,461,941.79,434165.19,XXL,Category B,"Fan, Holders, Switches, Socket/Outlet plug, Cables, Main Switch, Ceiling Rose",challenge,emp_2116
SI_184,OR_184,item_284,786,716.15,562893.9,XL,Category A,Fan,something,emp_2714
SI_185,OR_185,item_285,640,948.0,606720.0,L,Category A,"Switches, Socket/Outlet plug, Cables, LED Bulb, Ceiling Rose, Holders, Main Switch",weight,emp_1844
SI_186,OR_186,item_286,339,284.72,96520.08,XL,Category C,"Fan, Main Switch, Cables, Socket/Outlet plug",true,emp_1876
SI_187,OR_187,item_287,717,765.99,549214.83,M,Category C,"Switches, Holders, LED Bulb, Fan, Ceiling Rose",and,emp_1526
SI_188,OR_188,item_288,280,608.17,170287.6,M,Category B,"Switches, Main Switch, Socket/Outlet plug, Fan, LED Bulb",crime,emp_626
SI_189,OR_189,item_289,456,101.78,46411.68,L,Category C,"Holders, Switches, Fan, LED Bulb, Ceiling Rose",health,emp_2128
SI_190,OR_190,item_290,233,109.5,25513.5,S,Category B,Switches,million,emp_2256
SI_191,OR_191,item_291,386,160.07,61787.02,XXL,Category A,LED Bulb,visit,emp_326
SI_192,OR_192,item_292,100,333.96,33396.0,L,Category B,"Holders, LED Bulb, Main Switch, Fan",under,emp_1851
SI_193,OR_193,item_293,582,319.85,186152.7,XXL,Category B,Socket/Outlet plug,what,emp_2115
SI_194,OR_194,item_294,455,711.23,323609.65,M,Category C,"Ceiling Rose, Holders, Cables, Fan, Switches, LED Bulb, Main Switch",southern,emp_1273
SI_195,OR_195,item_295,301,323.21,97286.21,S,Category A,"LED Bulb, Fan",rather,emp_2614
SI_196,OR_196,item_296,774,773.22,598472.28,S,Category C,"Fan, Main Switch",end,emp_540
SI_197,OR_197,item_297,429,584.9,250922.1,S,Category A,"Ceiling Rose, Switches, Fan, Socket/Outlet plug",pick,emp_933
SI_198,OR_198,item_298,303,187.85,56918.55,XXL,Category B,"Fan, Cables, Main Switch, Ceiling Rose, Holders, Switches, LED Bulb, Socket/Outlet plug",type,emp_1388
SI_199,OR_199,item_299,872,536.6,467915.2,XL,Category A,"Main Switch, Cables",adult,emp_1879
SI_200,OR_200,item_300,744,313.95,233578.8,L,Category B,"Holders, Socket/Outlet plug, LED Bulb, Switches, Main Switch, Cables, Fan, Ceiling Rose",control,emp_1506
SI_201,OR_201,item_301,900,338.97,305073.0,S,Category C,Holders,response,emp_1205
SI_202,OR_202,item_302,961,604.47,580895.67,M,Category C,LED Bulb,foot,emp_1400
SI_203,OR_203,item_303,796,918.14,730839.44,L,Category A,"Main Switch, Cables, Ceiling Rose, Fan",just,emp_1039
SI_204,OR_204,item_304,138,31.98,4413.24,S,Category A,"Holders, Ceiling Rose, Switches, Socket/Outlet plug",power,emp_1153
SI_205,OR_205,item_305,228,841.98,191971.44,S,Category B,"Holders, Ceiling Rose, Cables, Socket/Outlet plug, Fan, Switches, LED Bulb",official,emp_1814
SI_206,OR_206,item_306,634,631.7,400497.8,XL,Category C,"Fan, Main Switch, Switches, Ceiling Rose",skin,emp_1152
SI_207,OR_207,item_307,593,847.29,502442.97,L,Category A,"Fan, Main Switch, Socket/Outlet plug, Cables, LED Bulb",dog,emp_1253
