order_id,customer_id,order_date,order_time,total_order_amount
OR_65,customer_107812,2023-04-29,00:34:00,123.12
OR_66,customer_105490,2021-06-20,22:08:00,244.07
OR_67,customer_10475,2021-11-21,03:54:00,305.96
OR_68,customer_108969,2021-01-06,00:47:00,21.7
OR_69,customer_103513,2020-05-22,19:54:00,209.73
OR_70,customer_103971,2021-03-01,03:56:00,408.84
OR_71,customer_105878,2023-01-27,21:29:00,330.65
OR_72,customer_103733,2023-04-30,23:40:00,313.31
OR_73,customer_103627,2021-10-12,06:44:00,55.06
OR_74,customer_107421,2021-05-02,00:01:00,20.97
OR_75,customer_101285,2023-12-22,06:27:00,405.38
OR_76,customer_106374,2020-10-26,09:07:00,379.94
OR_77,customer_106951,2023-11-26,21:54:00,455.0
OR_78,customer_108442,2020-06-14,03:47:00,61.1
OR_79,customer_106420,2020-07-30,15:21:00,489.45
OR_80,customer_103310,2020-04-04,06:02:00,106.64
OR_81,customer_104621,2023-11-22,18:58:00,493.02
OR_82,customer_102602,2022-04-20,23:57:00,121.5
OR_83,customer_102202,2023-07-13,11:31:00,24.06
OR_84,customer_108887,2022-07-10,07:53:00,363.06
OR_85,customer_104984,2021-06-02,18:26:00,102.37
OR_86,customer_104541,2020-02-10,04:06:00,344.37
OR_87,customer_102536,2021-06-07,23:28:00,71.58
OR_88,customer_102724,2020-01-24,04:58:00,374.93
OR_89,customer_102008,2021-03-29,02:07:00,488.74
OR_90,customer_103388,2023-06-14,05:53:00,332.07
OR_91,customer_104981,2020-05-24,19:28:00,57.41
OR_92,customer_10899,2022-04-27,13:06:00,229.4
OR_93,customer_105627,2021-10-03,22:04:00,281.12
OR_94,customer_109956,2020-09-24,04:58:00,289.86
OR_95,customer_102350,2021-07-15,15:47:00,326.51
OR_96,customer_101592,2021-03-25,18:37:00,43.34
OR_97,customer_10426,2020-06-23,17:40:00,29.71
OR_98,customer_10350,2023-10-14,01:46:00,168.4
OR_99,customer_105004,2020-10-05,00:34:00,240.02
OR_100,customer_107882,2020-10-19,13:20:00,229.13
OR_101,customer_101402,2022-02-23,04:41:00,270.16
OR_102,customer_104358,2023-11-13,15:17:00,463.61
OR_103,customer_10496,2023-02-18,14:38:00,261.1
OR_104,customer_107822,2023-02-27,16:46:00,448.29
OR_105,customer_101454,2020-03-21,07:18:00,303.78
OR_106,customer_102881,2022-03-08,20:17:00,276.5
OR_107,customer_106999,2023-09-26,03:36:00,52.69
OR_108,customer_107143,2020-07-21,09:00:00,396.1
OR_109,customer_102599,2022-06-03,17:08:00,145.58
OR_110,customer_106470,2021-06-07,13:24:00,149.1
OR_111,customer_106349,2020-06-18,02:41:00,194.55
OR_112,customer_10785,2020-05-19,00:34:00,233.95
OR_113,customer_107524,2021-08-24,10:50:00,161.87
OR_114,customer_101840,2020-08-15,00:04:00,334.59
OR_115,customer_103424,2023-09-10,22:08:00,269.18
OR_116,customer_106970,2022-10-05,21:40:00,293.58
OR_117,customer_104810,2020-07-06,02:57:00,37.99
OR_118,customer_103840,2020-05-13,23:26:00,297.35
OR_119,customer_107624,2022-10-01,22:12:00,159.36
OR_120,customer_101565,2022-11-15,06:29:00,91.29
OR_121,customer_10907,2023-04-21,11:45:00,201.96
OR_122,customer_102593,2021-02-02,07:29:00,382.46
OR_123,customer_108604,2023-10-10,14:41:00,167.3
OR_124,customer_108764,2022-10-30,16:08:00,25.02
OR_125,customer_108011,2020-09-07,20:45:00,28.24
OR_126,customer_10935,2022-01-18,17:42:00,473.9
OR_127,customer_102012,2022-11-21,12:10:00,254.68
OR_128,customer_101057,2020-04-12,11:38:00,312.57
OR_129,customer_104703,2022-07-11,00:59:00,228.14
OR_130,customer_104838,2022-02-14,18:34:00,13.62
OR_131,customer_10523,2020-03-17,20:38:00,130.78
OR_132,customer_107718,2020-03-17,12:35:00,66.48
OR_133,customer_10385,2020-05-24,20:07:00,212.27
OR_134,customer_107858,2023-10-29,15:59:00,275.62
OR_135,customer_105511,2023-11-11,06:26:00,300.3
OR_136,customer_102937,2023-10-27,01:46:00,146.67
OR_137,customer_10828,2020-01-31,18:51:00,248.23
OR_138,customer_104728,2022-01-28,01:18:00,20.06
OR_139,customer_105179,2022-08-24,05:43:00,288.88
OR_140,customer_10947,2022-09-20,09:42:00,325.38
OR_141,customer_108381,2020-05-21,10:37:00,187.76
OR_142,customer_108951,2022-12-27,15:03:00,58.35
OR_143,customer_107865,2022-12-29,00:07:00,42.88
OR_144,customer_109819,2022-12-13,00:29:00,70.71
OR_145,customer_10481,2021-09-07,16:46:00,92.31
OR_146,customer_104958,2020-03-15,03:03:00,69.92
OR_147,customer_104661,2020-06-04,05:50:00,58.52
OR_148,customer_102232,2022-12-29,03:09:00,166.91
OR_149,customer_102802,2021-07-11,11:37:00,334.71
OR_150,customer_101066,2022-07-08,05:12:00,438.77
OR_151,customer_107958,2022-08-09,09:25:00,10.09
OR_152,customer_105397,2022-06-24,17:46:00,44.11
OR_153,customer_106862,2023-07-19,10:07:00,250.72
OR_154,customer_102846,2020-11-24,19:10:00,47.96
OR_155,customer_104536,2020-10-07,03:43:00,262.19
OR_156,customer_103259,2020-01-20,18:55:00,337.38
OR_157,customer_107596,2020-12-05,03:46:00,158.87
OR_158,customer_109121,2021-05-02,02:50:00,10.07
OR_159,customer_104103,2021-04-19,15:11:00,367.83
OR_160,customer_101153,2023-11-21,20:16:00,250.41
OR_161,customer_104240,2023-10-02,16:27:00,488.49
OR_162,customer_10620,2022-09-22,01:22:00,167.17
OR_163,customer_109633,2023-07-15,13:59:00,246.61
OR_164,customer_101319,2020-10-24,04:41:00,251.34
OR_165,customer_102557,2023-02-20,14:21:00,144.16
OR_166,customer_107786,2022-12-04,14:03:00,352.74
OR_167,customer_105742,2021-06-13,13:46:00,339.32
OR_168,customer_105642,2021-06-16,06:55:00,271.84
OR_169,customer_108923,2021-03-09,13:46:00,160.2
OR_170,customer_104472,2021-03-16,13:33:00,470.63
OR_171,customer_103661,2023-04-07,08:29:00,441.97
OR_172,customer_10136,2021-12-28,19:44:00,123.77
OR_173,customer_104518,2020-05-11,03:01:00,405.99
OR_174,customer_104952,2022-10-10,14:24:00,174.39
OR_175,customer_108560,2021-02-15,18:36:00,402.97
OR_176,customer_108245,2020-03-01,06:39:00,495.38
OR_177,customer_101769,2020-01-19,23:49:00,474.28
OR_178,customer_101725,2021-06-21,01:40:00,217.14
OR_179,customer_102564,2023-04-24,16:53:00,87.91
OR_180,customer_104359,2023-05-22,23:18:00,149.68
OR_181,customer_106811,2020-10-14,20:13:00,260.36
OR_182,customer_102025,2023-05-07,14:56:00,338.51
OR_183,customer_107568,2022-06-05,03:38:00,333.81
OR_184,customer_101567,2020-10-06,08:59:00,166.01
OR_185,customer_107854,2022-02-16,03:46:00,143.09
OR_186,customer_109181,2022-05-20,17:07:00,21.2
OR_187,customer_101812,2023-03-05,04:03:00,46.61
OR_188,customer_104580,2021-03-26,06:40:00,260.89
OR_189,customer_108722,2022-05-16,09:14:00,199.27
OR_190,customer_102007,2022-10-01,03:04:00,237.39
OR_191,customer_103377,2020-02-19,11:13:00,30.37
OR_192,customer_103082,2022-12-19,00:53:00,217.33
OR_193,customer_107492,2023-09-18,02:38:00,21.58
OR_194,customer_103717,2023-10-28,15:17:00,397.58
OR_195,customer_105971,2023-01-02,11:48:00,430.07
OR_196,customer_103544,2021-11-13,12:18:00,338.4
OR_197,customer_109205,2023-09-08,16:34:00,83.21
OR_198,customer_104237,2023-08-10,04:19:00,345.35
OR_199,customer_106791,2022-12-10,19:43:00,425.44
OR_200,customer_108171,2021-02-19,21:38:00,450.4
OR_201,customer_101152,2020-03-29,09:32:00,498.02
OR_202,customer_101464,2021-09-15,23:39:00,260.87
OR_203,customer_101317,2021-02-07,09:07:00,467.59
OR_204,customer_105901,2021-10-26,09:30:00,468.83
OR_205,customer_109810,2021-08-16,10:34:00,340.93
OR_206,customer_105094,2022-05-30,17:36:00,365.2
OR_207,customer_106098,2022-09-04,23:29:00,440.63
OR_208,customer_101107,2023-03-24,14:59:00,24.18
OR_209,customer_1068,2022-05-19,15:29:00,275.77
OR_210,customer_101848,2022-03-24,02:18:00,323.73
OR_211,customer_102367,2021-08-31,12:02:00,70.14
OR_212,customer_10582,2021-01-17,21:41:00,158.0
OR_213,customer_103647,2021-04-30,08:39:00,113.54
OR_214,customer_105564,2022-03-03,09:57:00,181.72
OR_215,customer_109288,2021-09-07,15:11:00,439.06
OR_216,customer_106527,2020-01-12,08:25:00,208.37
OR_217,customer_102874,2020-12-12,06:54:00,312.71
OR_218,customer_10839,2023-06-26,16:52:00,243.67
OR_219,customer_108383,2022-10-15,18:27:00,348.43
OR_220,customer_103197,2022-07-18,06:08:00,285.24
OR_221,customer_107638,2020-06-02,10:16:00,334.35
OR_222,customer_101631,2021-07-29,11:54:00,419.09
OR_223,customer_102687,2021-05-19,04:46:00,133.35
OR_224,customer_103340,2021-06-26,21:30:00,161.47
OR_225,customer_108674,2022-05-19,16:58:00,144.78
OR_226,customer_101222,2023-05-30,13:36:00,33.45
OR_227,customer_10128,2020-04-13,00:33:00,235.25
OR_228,customer_10398,2021-12-14,17:03:00,46.23
OR_229,customer_106011,2021-04-23,14:27:00,396.32
OR_230,customer_106055,2022-01-13,16:45:00,254.61
OR_231,customer_104783,2020-01-31,05:54:00,19.97
OR_232,customer_103032,2020-10-09,15:44:00,51.54
OR_233,customer_10657,2021-10-30,09:19:00,171.73
OR_234,customer_101113,2020-07-14,22:44:00,347.54
OR_235,customer_102100,2021-10-21,03:39:00,112.82
OR_236,customer_105369,2020-01-14,16:00:00,351.23
OR_237,customer_104879,2022-08-21,00:01:00,22.0
OR_238,customer_104504,2020-11-12,11:19:00,161.98
OR_239,customer_103275,2023-01-27,01:26:00,394.08
OR_240,customer_102622,2023-09-19,18:19:00,275.2
OR_241,customer_105897,2022-02-28,14:41:00,35.06
OR_242,customer_101648,2021-02-19,23:06:00,413.98
OR_243,customer_103280,2023-07-14,10:08:00,114.83
OR_244,customer_102648,2020-09-18,03:06:00,73.11
OR_245,customer_109870,2020-10-29,04:39:00,201.04
OR_246,customer_107934,2023-07-31,12:20:00,454.41
OR_247,customer_10942,2021-04-24,23:37:00,253.56
OR_248,customer_103271,2020-03-08,13:12:00,209.18
OR_249,customer_101942,2020-05-07,17:55:00,92.58
OR_250,customer_102459,2023-11-19,09:12:00,71.71
OR_251,customer_102913,2021-06-15,09:04:00,227.36
OR_252,customer_109276,2020-10-11,08:38:00,187.84
OR_253,customer_109624,2023-02-05,18:54:00,58.04
OR_254,customer_101259,2023-08-28,18:38:00,97.48
OR_255,customer_108833,2022-10-14,13:06:00,30.68
OR_256,customer_108356,2020-07-14,11:52:00,434.97
OR_257,customer_109013,2022-09-13,01:06:00,82.87
OR_258,customer_104889,2020-06-05,16:08:00,206.97
OR_259,customer_104912,2021-02-11,20:33:00,196.09
OR_260,customer_104800,2020-09-28,13:07:00,495.13
OR_261,customer_103267,2022-09-27,10:10:00,342.86
OR_262,customer_107786,2020-04-13,05:26:00,350.25
OR_263,customer_103739,2020-11-21,23:07:00,46.18
OR_264,customer_105832,2021-07-21,20:56:00,20.62
OR_265,customer_109258,2021-10-26,16:28:00,58.58
OR_266,customer_101286,2023-12-19,18:08:00,322.78
OR_267,customer_105595,2022-07-30,05:58:00,345.87
OR_268,customer_101905,2022-05-28,20:32:00,346.52
OR_269,customer_104304,2021-11-25,03:40:00,340.76
OR_270,customer_102680,2023-04-17,07:38:00,25.77
OR_271,customer_10711,2020-12-26,05:10:00,243.27
OR_272,customer_105200,2020-10-10,18:24:00,465.28
OR_273,customer_103066,2021-05-09,06:17:00,294.82
OR_274,customer_109967,2022-03-04,06:19:00,67.56
OR_275,customer_107510,2021-07-30,08:31:00,260.63
OR_276,customer_102172,2022-11-22,10:43:00,461.85
OR_277,customer_103003,2021-01-14,17:56:00,468.91
OR_278,customer_10719,2021-02-23,06:21:00,414.11
OR_279,customer_106591,2020-05-28,16:26:00,323.29
OR_280,customer_101008,2022-06-18,20:47:00,302.13
OR_281,customer_108309,2021-05-30,20:56:00,442.18
OR_282,customer_10148,2021-02-20,17:22:00,66.01
OR_283,customer_102591,2022-10-04,10:48:00,155.66
OR_284,customer_101539,2022-02-24,19:52:00,65.06
OR_285,customer_104029,2021-01-08,11:37:00,166.34
OR_286,customer_102929,2022-11-21,20:26:00,458.33
OR_287,customer_106202,2021-01-17,08:32:00,458.23
OR_288,customer_107304,2023-07-09,14:01:00,146.37
OR_289,customer_106902,2022-04-02,18:53:00,17.63
OR_290,customer_106018,2020-05-07,00:18:00,77.51
OR_291,customer_103115,2020-09-09,10:06:00,488.38
OR_292,customer_104238,2023-07-21,15:22:00,448.36
OR_293,customer_102164,2023-06-13,09:56:00,395.42
OR_294,customer_101535,2023-02-04,17:42:00,189.55
OR_295,customer_10496,2020-10-03,16:34:00,17.47
OR_296,customer_101691,2023-01-13,17:13:00,335.84
OR_297,customer_101707,2021-02-06,21:18:00,470.52
OR_298,customer_109506,2022-06-12,01:20:00,427.08
OR_299,customer_103116,2020-02-12,14:51:00,426.37
OR_300,customer_101557,2021-05-12,22:48:00,90.35
OR_301,customer_102794,2022-08-08,18:41:00,294.5
OR_302,customer_106748,2021-11-07,15:18:00,229.05
OR_303,customer_107747,2020-12-30,03:15:00,207.23
OR_304,customer_109482,2023-02-10,08:00:00,391.64
OR_305,customer_105088,2020-08-03,23:19:00,431.28
OR_306,customer_109633,2022-06-16,09:07:00,388.14
OR_307,customer_104953,2020-01-19,02:16:00,99.65
OR_308,customer_108673,2020-09-04,15:42:00,184.33
OR_309,customer_105967,2020-09-27,06:46:00,29.14
OR_310,customer_101047,2022-04-09,17:24:00,224.57
OR_311,customer_102079,2022-07-21,07:03:00,263.01
OR_312,customer_104703,2023-06-26,04:51:00,24.29
OR_313,customer_108172,2021-12-12,11:09:00,48.5
OR_314,customer_102061,2021-10-13,08:15:00,219.07
OR_315,customer_105059,2022-04-03,04:50:00,55.17
OR_316,customer_109971,2023-08-02,11:12:00,336.5
OR_317,customer_104362,2022-02-15,09:27:00,23.77
OR_318,customer_109145,2021-03-21,07:55:00,71.8
OR_319,customer_101088,2022-10-22,23:28:00,368.43
OR_320,customer_105770,2022-02-28,01:07:00,259.25
OR_321,customer_108569,2022-03-19,11:51:00,72.46
OR_322,customer_103567,2021-01-08,13:36:00,427.18
OR_323,customer_103174,2023-05-13,20:54:00,151.75
OR_324,customer_10621,2021-01-17,15:42:00,172.62
OR_325,customer_101488,2022-01-21,11:13:00,441.03
OR_326,customer_103282,2023-04-21,00:35:00,247.21
OR_327,customer_105714,2022-08-31,22:33:00,92.96
OR_328,customer_103490,2021-07-01,15:19:00,336.41
OR_329,customer_109111,2023-02-24,07:01:00,369.49
OR_330,customer_107052,2020-02-18,01:48:00,413.37
OR_331,customer_105663,2023-01-19,02:44:00,395.72
OR_332,customer_104581,2021-04-13,09:00:00,423.57
OR_333,customer_104775,2020-05-01,13:59:00,413.77
OR_334,customer_109780,2020-11-23,12:28:00,403.29
OR_335,customer_102476,2023-05-17,12:52:00,61.87
OR_336,customer_107329,2021-12-23,15:12:00,41.36
OR_337,customer_106275,2021-03-19,20:03:00,69.68
OR_338,customer_103073,2020-06-12,08:46:00,156.39
OR_339,customer_109269,2023-05-18,08:36:00,476.11
OR_340,customer_101855,2022-07-26,01:31:00,124.06
OR_341,customer_103098,2020-11-21,16:00:00,219.91
OR_342,customer_107746,2023-12-20,13:38:00,193.15
OR_343,customer_103611,2021-09-10,05:19:00,79.46
OR_344,customer_10480,2022-01-17,01:18:00,395.12
OR_345,customer_108698,2021-05-12,21:46:00,44.67
OR_346,customer_101271,2023-06-11,14:33:00,40.35
OR_347,customer_104530,2020-01-21,18:24:00,296.81
OR_348,customer_10728,2021-02-19,14:58:00,181.3
OR_349,customer_108576,2022-03-24,01:34:00,470.89
OR_350,customer_104695,2023-05-28,14:40:00,440.96
OR_351,customer_108291,2021-08-10,13:10:00,261.74
OR_352,customer_108684,2023-09-29,09:48:00,101.84
OR_353,customer_107484,2023-10-18,02:15:00,227.18
OR_354,customer_104072,2020-06-21,05:21:00,419.5
OR_355,customer_103964,2023-04-19,15:37:00,181.64
OR_356,customer_102676,2023-11-02,14:24:00,284.42
OR_357,customer_105053,2021-08-19,16:05:00,91.17
OR_358,customer_101055,2023-09-06,04:06:00,189.1
OR_359,customer_107732,2023-05-23,09:12:00,113.47
OR_360,customer_108168,2022-09-06,14:54:00,84.27
OR_361,customer_102688,2021-09-25,20:48:00,483.84
OR_362,customer_108384,2022-05-03,08:51:00,29.59
OR_363,customer_104066,2021-12-21,07:20:00,68.57
OR_364,customer_102348,2022-04-08,11:52:00,458.54
OR_365,customer_10296,2022-08-23,12:16:00,340.31
OR_366,customer_109963,2020-08-04,16:43:00,169.27
OR_367,customer_104728,2021-08-14,02:39:00,32.62
OR_368,customer_103547,2021-04-11,07:38:00,11.83
OR_369,customer_103308,2022-06-29,19:20:00,86.61
OR_370,customer_103382,2023-05-29,15:06:00,47.29
OR_371,customer_106391,2021-11-12,22:49:00,411.09
OR_372,customer_104161,2022-12-23,07:37:00,405.17
OR_373,customer_102857,2020-06-13,03:18:00,437.48
OR_374,customer_107337,2020-02-15,05:35:00,217.44
OR_375,customer_107704,2022-03-09,02:46:00,130.58
OR_376,customer_102183,2021-03-13,15:00:00,332.86
OR_377,customer_104947,2020-02-15,08:15:00,95.04
OR_378,customer_105791,2021-11-29,06:23:00,478.25
OR_379,customer_106,2021-12-19,17:46:00,452.61
OR_380,customer_101936,2020-11-12,10:15:00,87.27
OR_381,customer_108322,2022-12-29,19:01:00,155.6
OR_382,customer_102226,2022-08-23,04:33:00,162.36
OR_383,customer_105805,2020-01-20,07:51:00,469.64
OR_384,customer_107500,2023-11-21,16:30:00,440.89
OR_385,customer_106338,2023-01-28,15:47:00,164.69
OR_386,customer_103253,2022-02-12,12:56:00,68.86
OR_387,customer_105740,2023-08-21,20:09:00,216.97
OR_388,customer_106723,2022-04-12,20:18:00,311.52
OR_389,customer_101103,2020-09-10,23:37:00,24.99
OR_390,customer_10282,2023-03-29,01:56:00,287.1
OR_391,customer_106011,2021-02-18,19:56:00,386.44
OR_392,customer_10424,2023-10-27,13:28:00,109.27
OR_393,customer_102969,2020-05-05,09:00:00,447.55
OR_394,customer_101684,2023-09-15,13:47:00,275.27
OR_395,customer_104240,2020-05-31,17:42:00,290.47
OR_396,customer_101049,2023-09-28,08:11:00,224.97
OR_397,customer_107018,2021-08-17,13:31:00,94.82
OR_398,customer_103672,2021-05-01,22:58:00,189.02
OR_399,customer_105019,2020-01-22,15:56:00,196.1
OR_400,customer_103489,2022-04-01,03:21:00,80.91
OR_401,customer_105134,2022-05-27,13:35:00,239.95
OR_402,customer_10830,2020-10-26,21:33:00,226.19
OR_403,customer_103520,2021-05-11,19:03:00,317.4
OR_404,customer_105767,2020-08-31,07:13:00,427.67
OR_405,customer_101557,2021-10-19,17:30:00,444.94
OR_406,customer_105671,2023-01-24,19:27:00,341.69
OR_407,customer_103226,2022-01-08,02:45:00,423.5
OR_408,customer_107223,2023-12-15,14:55:00,475.13
OR_409,customer_109318,2023-05-10,16:31:00,258.97
OR_410,customer_108143,2023-02-03,07:01:00,327.22
OR_411,customer_101163,2021-05-13,10:10:00,171.51
OR_412,customer_102702,2022-07-05,19:00:00,214.84
OR_413,customer_109256,2023-02-01,03:53:00,168.43
OR_414,customer_101013,2020-01-28,12:01:00,152.2
OR_415,customer_106970,2021-06-24,02:24:00,109.77
OR_416,customer_109013,2020-06-30,14:35:00,497.41
OR_417,customer_109991,2020-10-14,03:46:00,126.37
OR_418,customer_103673,2023-05-11,18:03:00,186.19
OR_419,customer_109235,2023-12-09,02:12:00,227.81
OR_420,customer_10177,2020-02-17,06:15:00,354.05
OR_421,customer_103821,2020-10-24,10:25:00,30.23
OR_422,customer_103669,2023-06-11,10:02:00,461.69
OR_423,customer_106204,2022-11-06,11:14:00,280.06
OR_424,customer_102511,2021-09-13,02:08:00,74.78
OR_425,customer_104061,2021-02-18,23:27:00,497.99
OR_426,customer_103605,2020-02-05,09:42:00,238.44
OR_427,customer_104931,2021-10-23,18:40:00,160.05
OR_428,customer_104749,2022-02-23,11:40:00,350.53
OR_429,customer_104776,2021-08-27,07:08:00,169.17
OR_430,customer_103497,2020-07-30,19:57:00,212.89
OR_431,customer_101743,2023-06-02,04:05:00,83.71
OR_432,customer_109436,2022-11-22,20:25:00,425.43
OR_433,customer_105796,2022-06-22,13:56:00,453.65
OR_434,customer_106580,2022-09-19,10:01:00,395.96
OR_435,customer_109134,2023-05-22,14:09:00,76.48
OR_436,customer_102323,2022-08-12,07:40:00,78.95
OR_437,customer_105237,2022-04-08,18:36:00,377.18
OR_438,customer_101287,2021-12-03,08:08:00,270.69
OR_439,customer_105265,2021-07-27,08:06:00,444.11
OR_440,customer_104584,2021-05-09,12:59:00,265.27
OR_441,customer_107028,2020-11-23,04:44:00,125.91
OR_442,customer_10251,2020-02-29,23:57:00,329.59
OR_443,customer_101754,2022-07-31,11:27:00,91.76
OR_444,customer_106368,2022-11-28,22:52:00,362.26
OR_445,customer_101943,2021-03-31,22:34:00,171.82
OR_446,customer_103279,2021-03-26,06:11:00,303.07
OR_447,customer_10487,2021-12-06,03:15:00,153.8
OR_448,customer_106703,2022-11-12,18:07:00,249.86
OR_449,customer_102806,2021-04-25,15:03:00,351.01
OR_450,customer_103250,2022-06-01,23:22:00,282.77
OR_451,customer_104562,2022-05-11,10:37:00,158.77
OR_452,customer_101215,2022-04-30,00:37:00,81.63
OR_453,customer_105224,2023-01-30,17:47:00,191.19
OR_454,customer_106125,2021-10-04,07:43:00,358.1
OR_455,customer_103522,2022-07-28,16:14:00,397.43
OR_456,customer_107109,2020-05-14,13:13:00,290.71
OR_457,customer_103611,2023-09-30,17:11:00,287.61
OR_458,customer_107480,2022-10-14,13:46:00,370.09
OR_459,customer_106304,2022-10-14,18:27:00,168.99
OR_460,customer_108021,2023-10-24,10:11:00,279.55
OR_461,customer_101186,2023-11-25,00:32:00,416.32
OR_462,customer_107985,2023-03-16,02:20:00,260.89
OR_463,customer_109878,2021-10-07,18:09:00,176.01
OR_464,customer_107879,2021-08-14,07:43:00,248.43
OR_465,customer_104337,2021-10-02,05:34:00,309.85
OR_466,customer_109159,2020-07-07,03:45:00,392.1
OR_467,customer_103809,2022-07-24,07:50:00,390.73
OR_468,customer_105249,2022-03-28,12:48:00,70.29
OR_469,customer_106720,2022-08-13,15:19:00,228.94
OR_470,customer_105619,2021-12-28,01:03:00,339.89
OR_471,customer_108141,2020-12-06,13:41:00,308.85
OR_472,customer_104030,2020-05-26,07:28:00,307.64
OR_473,customer_101777,2023-10-03,05:47:00,423.88
OR_474,customer_106942,2021-09-07,15:03:00,464.75
OR_475,customer_101549,2021-01-17,13:35:00,58.06
OR_476,customer_102187,2022-05-25,07:12:00,283.27
OR_477,customer_105977,2021-11-17,09:33:00,112.67
OR_478,customer_104530,2023-04-05,13:44:00,179.29
OR_479,customer_10343,2022-12-21,00:38:00,159.72
OR_480,customer_102366,2023-11-14,12:00:00,224.65
OR_481,customer_10334,2023-12-08,10:55:00,359.02
OR_482,customer_105127,2020-05-29,02:19:00,123.78
OR_483,customer_109132,2022-10-16,14:53:00,163.55
OR_484,customer_105536,2021-12-11,05:23:00,460.07
OR_485,customer_105751,2020-06-30,15:45:00,258.27
OR_486,customer_109992,2020-08-09,01:03:00,322.53
OR_487,customer_104925,2023-05-27,02:59:00,48.36
OR_488,customer_105241,2023-05-13,16:53:00,449.68
OR_489,customer_102989,2021-07-03,18:39:00,428.42
OR_490,customer_102494,2020-10-21,16:06:00,395.09
OR_491,customer_101604,2022-09-15,13:58:00,334.52
OR_492,customer_108761,2022-08-10,21:14:00,10.7
OR_493,customer_108508,2023-10-16,09:24:00,381.93
OR_494,customer_103254,2021-12-21,16:57:00,232.88
OR_495,customer_101295,2021-09-23,07:03:00,140.78
OR_496,customer_107928,2020-01-12,09:17:00,395.46
OR_497,customer_101212,2022-05-03,04:07:00,16.19
OR_498,customer_101075,2021-10-14,05:43:00,177.94
