order_id,amount,profit,quantity,category,payment_method
OR_3952,294.64,103.73,2,Category B,Mobile Payment
OR_7867,20.99,7.4,5,Category C,Card
OR_7325,110.83,38.55,7,Category B,Card
OR_7691,182.05,30.29,6,Category A,Card
OR_4803,134.89,58.88,5,Category A,Card
OR_3500,231.84,90.74,5,Category C,COD
OR_6492,48.36,10.6,10,Category B,Mobile Payment
OR_8879,375.43,116.71,7,Category B,Card
OR_2566,322.77,96.27,8,Category B,COD
OR_2543,448.73,72.09,2,Category B,Checks
OR_6765,391.1,188.42,1,Category C,Mobile Payment
OR_7232,481.6,236.78,9,Category A,Checks
OR_6922,319.21,152.45,4,Category B,Card
OR_6590,183.78,67.07,1,Category A,EMI
OR_4969,37.33,4.39,7,Category B,EMI
OR_706,449.68,210.59,8,Category C,COD
OR_2185,101.27,48.73,2,Category B,COD
OR_7577,164.66,45.58,6,Category B,Checks
OR_5001,145.7,68.23,9,Category A,Card
OR_8426,55.97,18.7,7,Category C,Mobile Payment
OR_2190,185.73,91.92,1,Category B,Mobile Payment
OR_8924,160.74,50.46,3,Category C,EMI
OR_7489,15.52,2.56,7,Category B,Checks
OR_3861,295.42,145.77,10,Category B,Checks
OR_831,312.06,65.14,4,Category B,Mobile Payment
OR_6322,380.0,71.77,4,Category A,Card
OR_2942,393.79,97.68,10,Category B,COD
OR_6424,389.84,106.46,6,Category A,Checks
OR_1657,247.43,70.38,7,Category C,Mobile Payment
OR_835,17.92,4.45,3,Category B,Card
OR_6455,362.2,49.48,2,Category A,COD
OR_7116,200.13,38.51,10,Category A,EMI
OR_987,110.72,17.77,9,Category A,COD
OR_4548,300.97,81.61,4,Category C,COD
OR_2149,36.3,11.08,8,Category C,COD
OR_2557,177.44,70.15,5,Category A,EMI
OR_2733,496.57,109.03,7,Category B,COD
OR_178,59.7,9.62,10,Category A,EMI
OR_5324,328.91,128.7,5,Category C,EMI
OR_7074,261.22,118.48,2,Category A,Card
OR_7961,46.79,18.06,10,Category B,Card
OR_1944,180.31,70.15,8,Category A,EMI
OR_5598,215.53,79.53,3,Category B,Mobile Payment
OR_7069,491.42,144.13,10,Category B,Checks
OR_2386,242.1,117.53,7,Category C,EMI
OR_8240,170.36,19.71,2,Category B,Checks
OR_9741,152.23,71.64,4,Category C,EMI
OR_4092,407.54,170.53,8,Category A,EMI
OR_2105,252.82,66.16,1,Category A,EMI
OR_822,239.31,54.45,2,Category A,Card
OR_4263,274.17,69.7,2,Category A,COD
OR_1418,244.76,38.72,4,Category C,Checks
OR_59,382.81,113.68,1,Category A,COD
OR_6276,416.18,181.87,9,Category C,EMI
OR_3724,56.77,25.83,6,Category B,EMI
OR_6999,17.44,7.23,5,Category C,Mobile Payment
OR_6318,265.39,63.92,8,Category A,COD
OR_9468,476.78,122.16,4,Category C,Card
OR_2598,314.0,149.14,6,Category A,COD
OR_7433,442.55,188.55,9,Category B,Checks
OR_5974,44.58,7.06,4,Category A,EMI
OR_6778,118.29,17.73,7,Category A,Checks
OR_6668,122.84,25.29,4,Category C,COD
OR_687,187.21,26.49,9,Category B,Card
OR_2541,373.38,39.96,1,Category C,Checks
OR_8579,50.8,15.48,9,Category C,Mobile Payment
OR_7955,265.42,87.69,6,Category B,Checks
OR_7018,450.29,212.29,4,Category B,EMI
OR_2839,281.38,134.27,5,Category B,Card
OR_3443,494.85,214.53,6,Category B,Mobile Payment
OR_4979,146.41,37.43,3,Category B,Mobile Payment
OR_5524,364.64,38.28,2,Category A,Checks
OR_7049,218.84,25.96,2,Category C,Checks
OR_4023,233.92,52.35,10,Category A,Checks
OR_6959,398.44,147.71,8,Category B,EMI
OR_373,248.67,69.5,2,Category A,Card
OR_6550,386.63,120.9,4,Category B,Card
OR_6620,388.85,99.83,10,Category A,EMI
OR_9686,227.99,85.9,7,Category B,Card
OR_1429,293.9,44.88,2,Category C,Mobile Payment
OR_7311,157.06,74.73,7,Category A,Card
OR_4888,274.19,91.83,9,Category A,Mobile Payment
OR_5567,433.84,197.14,1,Category C,Checks
OR_9131,40.39,17.7,4,Category A,Card
OR_1744,103.01,12.64,6,Category A,COD
OR_961,97.67,13.66,6,Category B,COD
OR_8335,200.65,89.56,10,Category C,COD
OR_2776,414.48,89.96,5,Category B,Card
OR_9535,28.57,10.32,4,Category A,EMI
OR_4125,16.19,6.7,6,Category C,Mobile Payment
OR_4439,299.46,102.01,6,Category B,EMI
OR_5323,80.74,33.19,3,Category B,Card
OR_4335,353.67,172.88,10,Category C,Card
OR_1368,272.83,46.75,3,Category C,Mobile Payment
OR_5570,484.46,71.03,6,Category C,EMI
OR_7479,325.73,134.39,1,Category A,Mobile Payment
OR_2773,164.52,36.91,1,Category A,Checks
OR_448,242.79,41.86,3,Category A,EMI
OR_8818,358.63,148.55,7,Category C,EMI
OR_6347,254.45,27.21,5,Category B,Card
OR_3664,38.32,9.06,9,Category B,EMI
OR_1931,17.88,5.6,7,Category A,EMI
OR_1889,39.28,12.93,4,Category C,COD
OR_1390,451.56,76.79,1,Category C,Checks
OR_1535,383.3,153.67,2,Category B,Mobile Payment
OR_3430,363.58,88.45,5,Category C,Mobile Payment
OR_6605,424.66,149.56,7,Category B,COD
OR_501,387.19,151.51,4,Category B,Mobile Payment
OR_295,340.52,79.11,6,Category C,Checks
OR_6192,54.98,18.78,6,Category A,EMI
OR_1793,93.92,31.42,10,Category A,COD
OR_4584,406.07,65.63,8,Category C,COD
OR_4855,481.95,119.72,5,Category B,Checks
OR_6662,200.01,55.98,2,Category B,Checks
OR_6086,155.39,59.37,9,Category B,COD
OR_7477,354.96,140.95,5,Category B,Mobile Payment
OR_2557,368.47,118.44,10,Category B,Mobile Payment
OR_5496,290.16,109.25,8,Category C,Checks
OR_1155,280.0,89.88,10,Category C,Checks
OR_4100,225.08,79.35,7,Category A,Checks
OR_4260,283.05,136.07,3,Category B,Checks
OR_1673,464.47,182.0,7,Category C,Card
OR_2939,26.67,3.34,1,Category A,COD
OR_689,131.63,20.41,1,Category B,COD
OR_9645,91.08,28.97,8,Category A,Card
OR_1812,179.7,21.52,2,Category C,Card
OR_8289,205.14,86.98,10,Category C,Checks
OR_8001,129.92,44.67,7,Category A,Card
OR_9232,483.79,178.7,8,Category C,Checks
OR_6375,490.76,60.65,10,Category A,COD
OR_7094,344.0,80.9,10,Category C,Card
OR_6102,36.98,10.11,9,Category C,Checks
OR_5626,425.58,153.75,6,Category B,Mobile Payment
OR_311,408.52,138.77,7,Category A,COD
OR_2300,455.31,68.21,4,Category C,COD
OR_6878,216.93,94.25,1,Category B,Mobile Payment
OR_2000,461.49,230.22,8,Category C,Mobile Payment
OR_2808,482.01,126.17,8,Category B,Card
OR_3976,495.13,142.74,10,Category B,COD
OR_9705,222.92,81.68,3,Category C,Card
OR_1292,254.73,113.05,6,Category A,Card
OR_372,267.54,74.11,9,Category B,EMI
OR_1722,245.08,59.4,1,Category B,Card
OR_6080,332.02,87.05,3,Category A,Card
OR_1991,312.52,130.11,1,Category C,Mobile Payment
OR_150,92.41,30.2,7,Category C,COD
OR_3067,491.79,110.11,10,Category B,EMI
OR_2594,453.38,53.53,9,Category A,Mobile Payment
OR_6609,135.44,57.31,3,Category B,Card
OR_7490,476.68,185.17,7,Category B,Checks
OR_1971,70.03,28.95,8,Category C,Card
OR_4683,163.02,23.25,7,Category B,COD
OR_1436,209.28,78.86,6,Category A,Card
OR_1497,12.39,2.25,2,Category B,EMI
OR_8982,228.41,29.75,10,Category C,EMI
OR_1290,32.0,11.18,6,Category A,Checks
OR_3440,437.45,98.36,9,Category B,Card
OR_840,471.45,67.22,3,Category C,Checks
OR_1587,67.89,15.02,4,Category A,Checks
OR_146,298.76,96.5,7,Category C,COD
OR_6214,114.51,38.73,5,Category C,Checks
OR_8107,170.4,21.42,9,Category C,COD
OR_3278,386.14,155.61,9,Category A,EMI
OR_3525,203.43,83.17,6,Category C,EMI
OR_8,423.95,47.1,10,Category C,Checks
OR_8597,365.35,149.43,10,Category B,Mobile Payment
OR_8771,492.26,228.74,8,Category C,EMI
OR_5286,206.92,98.7,2,Category A,Checks
OR_5675,11.5,2.05,4,Category B,Checks
OR_1591,35.76,6.99,6,Category A,COD
OR_6031,26.94,12.97,3,Category B,EMI
OR_2844,133.49,61.23,4,Category A,Checks
OR_503,53.57,18.1,10,Category B,COD
OR_3113,167.26,26.21,5,Category B,Mobile Payment
OR_2430,106.0,48.4,2,Category C,Checks
OR_7638,357.94,122.92,8,Category C,Card
OR_1217,200.27,66.16,10,Category A,COD
OR_1278,82.61,24.38,4,Category A,Card
OR_5972,255.7,94.22,9,Category A,COD
OR_7694,369.39,177.47,1,Category A,EMI
OR_8035,105.73,42.82,1,Category C,Card
OR_476,212.55,94.2,4,Category B,COD
OR_2592,319.37,48.81,3,Category A,Checks
OR_3068,446.0,74.94,8,Category A,COD
OR_4058,483.03,188.09,1,Category A,EMI
OR_9722,107.11,52.68,2,Category C,Mobile Payment
OR_5828,364.76,116.16,7,Category C,COD
OR_2833,346.1,143.52,5,Category B,EMI
OR_307,455.62,56.27,6,Category A,Mobile Payment
OR_2636,87.35,24.1,1,Category A,COD
OR_3299,193.25,28.6,3,Category A,Checks
OR_4973,498.23,71.64,6,Category A,Checks
OR_2287,96.15,42.63,1,Category A,Card
OR_2840,170.23,37.74,8,Category B,COD
OR_924,103.1,48.13,9,Category B,Card
OR_9689,274.47,61.43,3,Category B,Checks
OR_1257,370.71,138.39,9,Category B,COD
OR_2678,438.7,191.33,5,Category C,EMI
OR_5474,218.23,58.68,8,Category C,Checks
OR_914,51.51,17.31,2,Category A,COD
OR_2272,402.54,108.01,1,Category B,COD
OR_6196,470.4,200.39,7,Category C,Checks
OR_5792,401.25,130.94,2,Category A,Checks
OR_8453,248.14,119.18,9,Category A,EMI
OR_8679,246.5,80.27,7,Category B,EMI
OR_231,41.07,19.0,7,Category C,EMI
OR_6314,325.0,141.7,5,Category B,COD
OR_8079,323.94,118.1,3,Category C,Mobile Payment
OR_1537,358.27,129.81,5,Category C,EMI
OR_7288,295.33,69.77,3,Category C,Mobile Payment
OR_2682,43.78,14.25,9,Category A,Mobile Payment
OR_661,137.44,52.12,8,Category C,EMI
OR_8705,283.04,106.82,10,Category B,COD
OR_7265,454.74,108.09,1,Category B,Card
OR_8490,105.69,30.91,1,Category A,COD
OR_3360,12.8,4.1,8,Category A,EMI
OR_4473,157.47,71.58,4,Category B,Card
OR_7149,69.61,16.65,10,Category C,Card
OR_4232,131.25,50.83,7,Category A,Card
OR_4767,68.48,23.01,10,Category C,Card
OR_5982,334.36,132.57,5,Category A,EMI
OR_6855,321.66,126.02,4,Category A,Checks
OR_1865,71.83,25.17,7,Category C,Mobile Payment
OR_3372,490.77,189.22,10,Category A,Card
OR_9597,290.1,87.09,4,Category B,COD
OR_9549,414.4,75.37,3,Category A,Mobile Payment
OR_3569,445.56,60.36,6,Category B,Checks
OR_8694,271.27,128.46,2,Category C,EMI
OR_5495,22.61,4.58,5,Category C,COD
OR_1412,456.55,54.23,9,Category A,Mobile Payment
OR_5637,217.62,75.76,8,Category A,Mobile Payment
OR_5376,24.35,10.14,2,Category B,Card
OR_3349,204.27,74.14,8,Category C,COD
OR_1938,484.45,79.44,3,Category C,Mobile Payment
OR_2444,263.1,74.4,3,Category B,Card
OR_627,446.44,88.09,9,Category C,Mobile Payment
OR_8797,57.42,22.07,6,Category A,Mobile Payment
OR_4739,29.76,10.73,2,Category A,EMI
OR_6034,13.42,1.35,8,Category C,COD
OR_2607,130.14,55.28,6,Category A,Mobile Payment
OR_182,94.49,40.08,4,Category A,Mobile Payment
OR_8448,382.02,139.39,8,Category B,Card
OR_8091,263.21,40.56,2,Category A,Checks
OR_704,294.32,65.81,1,Category A,COD
OR_2994,207.53,97.14,2,Category B,Checks
OR_6484,261.83,122.82,1,Category B,Checks
OR_8371,221.74,55.49,8,Category A,Card
OR_8471,394.27,123.52,3,Category C,Mobile Payment
OR_8248,279.7,122.72,2,Category C,COD
OR_601,201.22,29.86,10,Category A,Card
OR_2822,355.39,164.7,1,Category B,Card
OR_166,79.57,26.03,5,Category C,Mobile Payment
OR_3862,471.16,86.44,4,Category B,Checks
OR_6822,175.17,81.45,1,Category B,Card
OR_6810,285.44,94.77,2,Category A,Mobile Payment
OR_3122,20.44,7.35,4,Category B,EMI
OR_2425,486.54,86.04,7,Category B,EMI
OR_8256,270.21,133.7,6,Category C,Mobile Payment
OR_1067,95.95,13.45,1,Category B,EMI
OR_195,439.7,171.43,10,Category A,COD
OR_2519,290.3,99.46,3,Category B,COD
