department_id,department_name,location,allocated_budget
D_199,Designing department,office,54205.19
D_200,Purchasing,office,233624.66
D_201,IT,office,391435.92
D_202,Sales representatives,store,450969.68
D_203,Account department,store,169927.71
D_204,Finance,store,150360.25
D_205,IT,office,249687.21
D_206,Sales representatives,store,179134.31
D_207,Production,office,424397.92
D_208,Administration,office,249185.95
D_209,Finance,office,117185.16
D_210,Human Resources,store,170519.85
D_211,Designing department,store,484617.66
D_212,Sales,store,370728.1
D_213,Sales representatives,office,244822.51
D_214,Administration,office,345898.62
D_215,Administration,store,153778.77
D_216,Production,store,375918.66
D_217,Accounting,store,215746.81
D_218,Marketing,store,280781.56
D_219,Purchasing,office,353432.19
D_220,IT,store,222777.42
D_221,Marketing,store,250236.81
D_222,Designing department,store,258494.49
D_223,Finance,office,146372.5
D_224,Finance,store,129578.46
D_225,Purchasing,store,460181.16
D_226,Production,store,104100.85
D_227,Designing department,store,287856.29
D_228,Finance,office,322999.99
D_229,Human Resources,office,267929.1
D_230,Account department,store,131731.32
D_231,Purchasing,store,264242.42
D_232,Human Resources,store,125043.04
D_233,Accounting,office,206557.44
D_234,Purchasing,store,358432.14
D_235,Accounting,office,160234.73
D_236,Account department,office,51004.67
D_237,Administration,office,354407.92
D_238,Production,store,61147.05
D_239,Human Resources,store,325606.52
D_240,IT,office,387030.87
D_241,Marketing,office,178649.63
D_242,Sales representatives,store,323506.07
D_243,Production,office,219785.05
D_244,Account department,store,383315.11
D_245,Accounting,store,231400.45
D_246,IT,office,96247.73
D_247,Marketing,office,145379.44
D_248,Sales representatives,office,288324.98
D_249,Sales representatives,office,206758.52
D_250,Sales,store,396056.01
D_251,Administration,store,166572.04
D_252,Accounting,store,494098.49
D_253,Accounting,office,492981.74
D_254,Account department,office,34856.3
D_255,IT,store,161576.09
D_256,Marketing,office,312600.48
D_257,Sales,office,165104.05
D_258,Purchasing,office,201754.65
D_259,Sales,store,275068.48
D_260,Sales,office,167829.67
D_261,Account department,store,369747.45
D_262,Accounting,office,484079.08
D_263,Sales,office,486750.37
D_264,Administration,store,438603.4
D_265,Administration,store,332840.75
D_266,Accounting,store,49178.54
D_267,Sales representatives,store,154808.56
D_268,Account department,office,373022.25
D_269,IT,office,102812.65
D_270,Finance,store,237177.58
D_271,Finance,store,189671.58
D_272,Account department,store,484857.05
D_273,Accounting,office,247161.03
D_274,Finance,store,88761.3
D_275,Production,office,422853.4
D_276,Production,office,23550.18
D_277,Finance,store,380754.6
D_278,Designing department,office,175534.98
D_279,Human Resources,office,314132.65
D_280,Finance,store,416269.35
D_281,Purchasing,store,154694.52
D_282,Marketing,office,155495.37
D_283,IT,office,465447.97
D_284,Account department,office,378920.77
D_285,Administration,store,46752.42
D_286,Administration,store,63849.07
D_287,Sales representatives,store,305798.23
D_288,Sales representatives,store,253336.87
D_289,Sales representatives,office,56471.16
D_290,Accounting,store,227962.4
D_291,Marketing,store,497940.91
D_292,Accounting,store,335343.9
D_293,Human Resources,store,315805.04
D_294,Administration,office,232019.55
D_295,Account department,store,364689.64
D_296,Sales representatives,office,308726.56
D_297,Human Resources,office,268882.42
D_298,Administration,store,308616.55
D_299,Administration,office,283948.04
D_300,Purchasing,office,473739.48
D_301,Finance,store,412928.71
D_302,Sales,store,31411.61
D_303,IT,office,189243.79
D_304,Administration,store,199205.38
D_305,Marketing,store,199750.43
D_306,Human Resources,store,160826.73
D_307,Human Resources,office,495892.99
D_308,Administration,store,48558.24
D_309,Account department,office,375647.11
D_310,Production,office,161150.73
D_311,Designing department,store,130821.35
D_312,Production,store,158120.89
D_313,Account department,office,70146.13
D_314,Account department,store,386020.74
D_315,Human Resources,store,314476.13
D_316,Administration,office,171395.8
D_317,Sales,store,263393.41
D_318,Marketing,office,485250.37
D_319,Designing department,office,362474.78
D_320,IT,office,412914.31
D_321,IT,store,74309.47
D_322,Administration,store,22173.12
D_323,Designing department,office,245178.04
D_324,Designing department,store,258549.01
D_325,Sales,store,290150.79
D_326,Finance,store,204714.06
D_327,Purchasing,office,408279.33
D_328,Designing department,store,242646.62
D_329,Sales representatives,office,434749.73
D_330,Sales representatives,store,290834.07
D_331,Marketing,store,255729.92
D_332,IT,store,160684.93
D_333,Human Resources,office,328390.45
D_334,Human Resources,office,423327.35
D_335,Sales,office,243146.05
D_336,Accounting,store,163729.05
D_337,Designing department,office,177762.46
D_338,Marketing,store,440334.2
D_339,Designing department,office,35225.22
D_340,Finance,store,61012.44
D_341,Administration,store,222660.11
D_342,Accounting,office,122991.68
D_343,Accounting,store,150478.59
D_344,Human Resources,store,13224.71
D_345,Sales,office,216140
D_346,Human Resources,store,249633.91
D_347,Sales representatives,store,26555.74
D_348,Account department,store,426022.93
D_349,Finance,store,165772.81
D_350,Designing department,office,219444.46
D_351,Marketing,store,343092.43
D_352,Marketing,store,39830.35
D_353,Designing department,store,488343.61
D_354,Human Resources,office,172078.56
D_355,Accounting,store,453580.57
D_356,Administration,store,298650.18
D_357,Human Resources,office,288235.48
D_358,Sales representatives,office,443104
D_359,Administration,office,214179.01
D_360,Sales representatives,office,182858.31
D_361,Account department,office,195694.2
D_362,Human Resources,office,23439.88
D_363,Purchasing,office,159035.08
D_364,Human Resources,store,33447.75
D_365,Sales representatives,store,338710.04
D_366,Marketing,store,316162.46
D_367,Accounting,office,441747.59
D_368,Human Resources,office,206520.11
D_369,Administration,store,242716.92
D_370,Sales,office,56955.79
D_371,Account department,store,465992.69
D_372,Administration,store,270417.5
D_373,Accounting,store,462547.99
D_374,Human Resources,office,78591.05
D_375,Account department,store,24394.55
D_376,Production,office,481400.34
D_377,Human Resources,store,57879.93
D_378,Production,store,319726.52
D_379,Production,office,124016.72
D_380,Production,office,242885.61
D_381,Production,office,146706.63
D_382,Accounting,office,253775.9
D_383,Account department,store,290592.61
D_384,Production,store,174618.08
D_385,Finance,office,11144.41
D_386,Account department,store,51530.7
D_387,Human Resources,office,37632.8
D_388,IT,store,409358.01
D_389,Finance,store,222983.67
D_390,Sales,store,132450
D_391,Account department,store,258168.87
D_392,IT,store,315865.8
D_393,Designing department,office,472507.92
D_394,Sales,store,36285.46
D_395,Purchasing,office,335059.88
D_396,Sales,store,439132.27
D_397,Sales,store,415149.19
D_398,Finance,office,106404.16
D_399,Administration,store,304307.51
D_400,Accounting,office,452827.88
D_401,Accounting,office,222530.58
D_402,Marketing,office,153041.18
D_403,Administration,store,170872.73
D_404,Finance,store,167865.19
D_405,Purchasing,store,337168.49
D_406,Marketing,office,298412.42
D_407,Human Resources,office,179033.36
D_408,Administration,office,277255.82
D_409,Production,store,438380.34
D_410,Purchasing,office,290007.59
D_411,Administration,office,361495.93
D_412,Account department,office,334831.87
D_413,Administration,store,131271.52
D_414,Production,office,343042.13
D_415,Designing department,office,201273.5
D_416,Finance,store,124006.56
D_417,Sales representatives,office,184669.76
D_418,Sales,office,463173.64
D_419,Accounting,office,424621.16
D_420,Purchasing,office,166570.65
D_421,Sales representatives,store,14498.79
D_422,Purchasing,store,277465.72
D_423,Human Resources,store,139479.55
D_424,Designing department,office,403153.65
D_425,Designing department,office,257455.54
D_426,Administration,store,223486.5
D_427,Human Resources,office,158923.5
D_428,Sales,store,481207.97
D_429,Sales representatives,store,401280.66
D_430,Human Resources,store,81315.9
D_431,Sales representatives,office,324997.65
D_432,Finance,office,277936.46
D_433,Marketing,store,438936.12
D_434,Accounting,store,440096.26
D_435,Production,office,307978.9
D_436,Sales,office,57228.98
D_437,Accounting,office,26956.82
D_438,IT,store,170473.56
D_439,Production,office,266898.2
D_440,Purchasing,store,219670.38
D_441,Designing department,store,117421.79
D_442,Marketing,office,144889.51
D_443,Human Resources,office,430622.88
D_444,Administration,store,447189.45
D_445,Account department,office,400651.06
D_446,Finance,office,279464.01
D_447,Accounting,store,434675.86
D_448,Sales representatives,office,445621.25
D_449,Marketing,office,333833.3
D_450,Production,store,472536.12
D_451,Administration,store,476598.03
D_452,Production,office,313615.56
D_453,Designing department,store,202834.64
D_454,Finance,office,86119.64
D_455,Account department,store,140584.97
D_456,Production,store,74106.47
D_457,Production,office,153033.98
D_458,Sales,office,412082.95
D_459,Accounting,office,85693.21
D_460,Accounting,store,45399.13
D_461,Finance,store,452759.51
D_462,Finance,office,198315.4
D_463,Administration,office,447943.01
D_464,Finance,office,275716.54
D_465,Accounting,office,51977.87
D_466,IT,store,278160.49
D_467,Administration,store,454833.74
D_468,Sales,store,179013.75
D_469,Purchasing,office,458978.21
D_470,Accounting,store,364606.46
D_471,Accounting,store,60118.46
D_472,Sales representatives,store,176102.33
D_473,Marketing,office,313312.78
D_474,Human Resources,store,244668.33
D_475,Production,office,284151.31
D_476,Marketing,office,157557.85
D_477,Administration,store,321063.54
D_478,Production,office,225552.94
D_479,Account department,office,102072.52
D_480,Sales representatives,store,195099.23
D_481,Marketing,office,217525.15
D_482,Human Resources,office,287883.87
D_483,Production,office,31723.83
D_484,Sales representatives,store,67039
D_485,Accounting,store,85902.47
D_486,IT,office,144478.49
D_487,Administration,office,139029.41
D_488,Marketing,office,438687.97
D_489,Sales representatives,store,431510.28
D_490,Account department,store,414366.24
D_491,IT,office,296014.05
D_492,Marketing,store,16097.9
D_493,Sales,office,183362.85
D_494,Designing department,office,342066.83
D_495,Sales representatives,office,374618.4
D_496,Sales representatives,office,65570.36
D_497,Sales,store,80644.46
D_498,Finance,store,260152.57
D_499,IT,store,125834.11
D_500,Administration,store,212754.89
D_501,Designing department,store,20425.33
D_502,Marketing,store,23168.24
D_503,Finance,store,389363.33
D_504,Marketing,office,191398.86
D_505,Administration,store,315789.66
D_506,Production,store,321461.98
D_507,Human Resources,office,360563.91
D_508,Finance,office,394224.83
D_509,Sales,store,224850.96
D_510,Account department,office,494163.67
D_511,IT,store,83718.81
D_512,Account department,office,387236.37
D_513,Account department,store,233752.41
D_514,Human Resources,store,428504.94
D_515,Sales representatives,office,97811.61
D_516,Marketing,office,213310.95
D_517,Designing department,store,66571.83
D_518,Human Resources,store,260005.07
D_519,Human Resources,store,196995.71
D_520,IT,office,307363.39
D_521,Designing department,store,260616.2
D_522,Designing department,store,135979.79
D_523,Account department,store,237983.64
D_524,Finance,store,478881.51
D_525,Designing department,office,119204.94
D_526,Designing department,store,268167.81
D_527,Account department,store,186068.74
D_528,Account department,store,234119.91
D_529,Finance,office,107932.04
D_530,Designing department,store,380062.14
D_531,Sales,store,117279.3
D_532,Administration,office,114602.9
D_533,Administration,office,230325.28
D_534,Human Resources,office,247223.16
D_535,Sales,office,150500.65
D_536,Administration,store,247740.55
D_537,Account department,store,80501.87
D_538,Sales representatives,store,177745.4
D_539,Finance,store,223829.23
D_540,Marketing,store,242759.89
D_541,Sales representatives,store,488220.17
D_542,Human Resources,store,226883.82
D_543,Sales representatives,office,97370.33
D_544,Finance,store,251173.49
D_545,Finance,office,195859.55
D_546,Production,office,202610.56
D_547,Human Resources,store,262884.75
D_548,Marketing,store,114293.77
D_549,Sales representatives,store,421531.99
D_550,Finance,store,361180.61
D_551,Administration,store,300273.27
D_552,Finance,store,122010.25
D_553,Finance,office,63839.35
D_554,Designing department,office,317676.44
D_555,Account department,store,306842.55
D_556,Designing department,office,160675.1
D_557,IT,office,407978.51
D_558,IT,office,132956.02
D_559,Account department,store,105138.3
D_560,Administration,office,323827.27
D_561,Purchasing,office,375612.41
D_562,Account department,store,185058.17
D_563,Marketing,store,495779.88
D_564,Sales representatives,office,136205.65
D_565,Accounting,store,312434.93
D_566,Sales representatives,store,109188.41
D_567,Designing department,office,162387.41
D_568,Purchasing,store,455174.8
D_569,Human Resources,office,90588.85
D_570,Human Resources,store,240327.53
D_571,Marketing,store,123951.75
D_572,IT,store,180572.86
D_573,Production,office,113234.42
D_574,Marketing,office,107072.17
D_575,Accounting,store,384062.23
D_576,Sales,store,110651.06
D_577,Purchasing,store,473941.57
D_578,Administration,office,266875.24
D_579,Administration,office,119659.31
D_580,Finance,office,64632.56
D_581,Sales representatives,store,194585.16
D_582,IT,store,341905.97
D_583,Purchasing,store,173483.46
D_584,Purchasing,office,141343.73
D_585,Human Resources,office,61749.19
D_586,Finance,office,88004.32
D_587,Designing department,office,134875.23
D_588,Finance,office,236718.55
D_589,Accounting,office,426343.96
D_590,Marketing,office,115282.37
D_591,IT,office,33056.26
D_592,Sales representatives,office,105378.04
D_593,Marketing,office,13587.65
D_594,Account department,store,153815.49
D_595,Production,office,315365.32
D_596,Finance,store,252593.13
D_597,Sales,office,217978.35
D_598,Sales,office,276213.15
D_599,Designing department,office,118311.38
D_600,Designing department,office,157920.27
D_601,Sales,office,25185.06
D_602,IT,office,356866.08
D_603,Sales representatives,office,342012.36
D_604,IT,store,319454.03
D_605,Accounting,office,370184.79
D_606,Production,office,112114.1
D_607,Account department,store,332318.92
D_608,Designing department,store,303143.48
D_609,Administration,office,208352.68
D_610,Human Resources,store,174423
D_611,Sales representatives,store,472895.58
D_612,Designing department,office,244379.09
D_613,Human Resources,store,59442.87
D_614,Production,office,129786.88
D_615,Sales representatives,office,352708.2
D_616,Purchasing,office,391553.76
D_617,Marketing,store,386472.28
D_618,Designing department,store,344691.97
D_619,Designing department,office,447402
D_620,Production,store,47986.56
D_621,Purchasing,store,30426.45
D_622,Accounting,office,283204.91
D_623,Human Resources,office,446558.37
D_624,Accounting,office,314754.85
D_625,Human Resources,office,380934.29
D_626,Marketing,store,295553.8
D_627,Sales representatives,store,141414.66
D_628,Administration,office,128979.17
D_629,Marketing,office,229863.88
D_630,Accounting,office,154410.01
D_631,Sales representatives,office,219188.41
D_632,Designing department,store,129392.9
D_633,Sales representatives,store,207374.74
D_634,Purchasing,office,478664.58
D_635,Account department,store,320062.41
D_636,Marketing,office,458501.64
D_637,Accounting,office,115774.57
D_638,Designing department,office,225671.12
D_639,Designing department,office,354379.76
D_640,Accounting,office,240024.48
D_641,Sales,store,115991.37
D_642,Sales,store,157560.31
D_643,Marketing,office,105007.59
D_644,Administration,office,83463.65
D_645,Sales representatives,store,499316.11
D_646,Sales,store,170583.26
D_647,Account department,store,305499.07
D_648,Marketing,store,398376.76
D_649,Human Resources,store,213139.51
D_650,Administration,store,337067.98
D_651,Sales,store,153877.57
D_652,Marketing,office,94727.46
D_653,Administration,store,230797.34
D_654,Marketing,store,332757.18
D_655,Accounting,office,216777.34
D_656,Human Resources,office,172554.13
D_657,Administration,office,338198.75
D_658,Human Resources,store,465029
D_659,Purchasing,store,204770.14
D_660,IT,store,250188.23
D_661,Finance,store,169254.04
D_662,Account department,office,466024.86
D_663,Purchasing,office,263815.27
D_664,Administration,office,322622.38
D_665,Finance,store,101928.74
D_666,Marketing,office,21148.18
D_667,Administration,store,206083.63
D_668,IT,office,404142.1
D_669,Production,store,25805.87
D_670,Accounting,store,400500.5
D_671,IT,office,60628.3
D_672,Sales representatives,store,462540.76
D_673,Designing department,store,289110.02
D_674,Production,office,254917.55
D_675,Purchasing,office,325056.45
D_676,Production,office,338073.69
D_677,Account department,store,70940.75
D_678,Designing department,store,343404.68
D_679,Production,office,80302.67
D_680,Sales,store,152967.79
D_681,IT,office,158731.87
D_682,IT,office,33744.02
D_683,Marketing,office,146032.27
D_684,Designing department,office,471481.93
D_685,Sales representatives,office,135357.29
D_686,Human Resources,office,156837.23
D_687,Production,office,478273.51
D_688,Designing department,store,356794.81
D_689,Purchasing,office,321293.5
D_690,IT,store,464357.39
D_691,Purchasing,office,485293.59
D_692,IT,office,32142.21
D_693,Account department,office,295603.53
D_694,Administration,store,100372.58
D_695,Sales,store,431916.63
D_696,Accounting,office,89462.51
D_697,Administration,office,33449.7
D_698,Finance,office,462318.53
D_699,IT,office,121080.1
D_700,Administration,store,121961.58
D_701,IT,office,476694.55
D_702,Administration,store,414422.63
D_703,Purchasing,office,121961.6
D_704,Administration,office,160564.29
D_705,Human Resources,office,452282.07
D_706,Administration,store,426426.25
D_707,Finance,office,61101.55
D_708,Sales,store,488974.27
D_709,Account department,store,223422.18
D_710,Sales,store,481992.95
D_711,Purchasing,store,274608.49
D_712,Accounting,store,179415.18
D_713,Account department,office,415332.32
D_714,IT,store,170694.79
D_715,Finance,store,398919.84
D_716,Sales representatives,office,240584.22
D_717,Sales representatives,store,291713.73
D_718,Designing department,store,304176.12
D_719,Designing department,store,406898.81
D_720,Accounting,office,394057.09
D_721,Account department,office,409487.74
D_722,Administration,store,437817.95
D_723,Purchasing,store,170010.53
D_724,Designing department,office,195379.42
D_725,Sales,office,245512.54
D_726,Administration,store,472496.36
D_727,Human Resources,store,141802.99
D_728,Designing department,office,305974.77
D_729,Sales,office,361594.89
D_730,Marketing,office,403920.98
D_731,Marketing,store,236689.74
D_732,Designing department,store,258634.21
D_733,Administration,office,59426.84
D_734,Sales representatives,store,231139.52
D_735,IT,office,148210.31
D_736,Sales,office,483345.24
D_737,Sales,office,373367.09
D_738,Finance,store,220544.79
D_739,Finance,store,239066.38
D_740,Human Resources,office,10140.9
D_741,Administration,office,267331.17
D_742,Production,store,399363.37
D_743,Sales representatives,office,144509.34
D_744,Finance,store,428415.07
D_745,Sales representatives,office,491489.54
D_746,Marketing,store,459031.27
D_747,Human Resources,store,38934.63
D_748,Finance,office,361219.59
D_749,Account department,store,399664.32
D_750,Purchasing,office,12460.31
D_751,Finance,store,442946.76
D_752,Designing department,office,343282.87
D_753,Sales representatives,office,136918.17
D_754,Sales representatives,store,424454.46
D_755,Account department,office,249772.95
D_756,Sales representatives,office,290550.59
D_757,IT,office,233928.76
D_758,Accounting,store,69526.01
D_759,IT,store,56194.03
D_760,Accounting,office,71785.12
D_761,Marketing,store,448076.17
D_762,Account department,office,148602.27
D_763,Marketing,store,374103.16
D_764,IT,store,148472.33
D_765,Finance,office,111640.31
D_766,Sales representatives,office,44377.11
D_767,Production,office,297276.96
D_768,Production,store,388039.55
D_769,Human Resources,office,453913.25
D_770,Administration,office,236779.01
D_771,Administration,store,331053.48
D_772,Designing department,store,151805.01
D_773,Purchasing,store,15202.46
D_774,Finance,store,190626.78
D_775,Human Resources,office,61942.62
D_776,Sales representatives,office,338274.25
D_777,Account department,office,469911.15
D_778,IT,office,165543.87
D_779,Administration,store,179262.05
D_780,IT,store,200487.43
D_781,Human Resources,office,121839.7
D_782,Marketing,store,354771.02
D_783,Finance,office,20984.22
D_784,Accounting,store,451548.87
D_785,Sales,office,394156.37
D_786,Sales,store,190620.23
D_787,Purchasing,store,112738.83
D_788,Account department,office,446665.58
D_789,Sales representatives,store,483797.17
D_790,Sales representatives,store,368527.15
D_791,Finance,office,65819.66
D_792,Sales representatives,office,37121.91
D_793,Designing department,store,74824.84
D_794,IT,office,376511.35
D_795,Sales,office,278418.23
D_796,Production,store,397900.1
D_797,Sales representatives,office,304513.94
D_798,Human Resources,office,470847.32
D_799,Designing department,store,79718.64
D_800,Administration,store,466284.28
D_801,Account department,office,421301.67
D_802,Finance,store,42303.34
D_803,Marketing,store,58991.51
D_804,Account department,store,380552.42
D_805,Designing department,office,241240.25
D_806,Designing department,office,313515.79
D_807,Purchasing,store,451072.95
D_808,Sales representatives,office,53978.11
D_809,Finance,office,491708.37
D_810,Account department,store,457985
D_811,Human Resources,store,356632.01
D_812,Sales,office,373654.37
D_813,Administration,office,440550.43
D_814,Sales representatives,office,442816.22
D_815,Marketing,office,333144.72
D_816,IT,store,92574.29
D_817,Human Resources,store,149795.2
D_818,Accounting,office,450794.12
D_819,Designing department,store,49777.94
D_820,Designing department,office,95152.18
D_821,Production,store,292080.93
D_822,Human Resources,store,278902.98
D_823,Finance,store,356989.87
D_824,Human Resources,office,332513.65
D_825,Administration,store,21017.59
D_826,Sales representatives,office,241219.22
D_827,IT,store,469325.11
D_828,Production,office,426664.82
D_829,Sales,store,26117.51
D_830,Designing department,store,474845.81
D_831,Administration,store,378200.98
D_832,Administration,office,436930.86
D_833,Account department,store,456893.99
D_834,Finance,store,206599.72
D_835,Marketing,office,71835.56
D_836,Purchasing,office,465827.33
D_837,Purchasing,office,195001.26
D_838,Designing department,store,470556.33
D_839,Human Resources,store,230527.38
D_840,Purchasing,office,347302.22
D_841,Accounting,store,297867.67
D_842,Administration,store,257530.09
D_843,Accounting,store,474596.78
D_844,Accounting,office,458935.59
D_845,Finance,office,389474.69
D_846,Administration,store,333058.38
D_847,Designing department,office,498855.01
D_848,Administration,office,35863.24
D_849,Purchasing,store,296060.72
D_850,Accounting,store,184066.83
D_851,Marketing,store,320351.66
D_852,Finance,store,109266.42
D_853,Sales,store,140960.39
D_854,IT,office,126476.93
D_855,Human Resources,office,187275.99
D_856,Human Resources,office,292982.2
D_857,Human Resources,store,459487.24
D_858,Finance,store,135736.97
D_859,Marketing,store,150500.64
D_860,Human Resources,office,188258.88
D_861,Purchasing,office,351551.03
D_862,Sales representatives,office,409995.05
D_863,Administration,store,332201.39
D_864,Finance,store,81123.87
D_865,Production,office,80857
D_866,Finance,office,124797.59
D_867,IT,office,126127.78
D_868,Purchasing,store,50018.87
D_869,Sales,store,293021.17
D_870,Account department,office,425914.56
D_871,Accounting,store,454131.27
D_872,Designing department,office,20285.94
D_873,Marketing,office,356818.08
D_874,Sales,store,375060.8
D_875,Designing department,store,48337.24
D_876,Human Resources,store,61629.84
D_877,Administration,office,440853.15
D_878,Account department,store,54237.6
D_879,Finance,office,63105.65
D_880,Accounting,office,205920.85
D_881,Human Resources,office,80089.04
D_882,Purchasing,store,67154.42
D_883,Human Resources,store,232600.18
D_884,Sales,store,356186.93
D_885,Human Resources,store,312097.31
D_886,Human Resources,office,409342
D_887,Marketing,office,280502.57
D_888,Administration,store,367248.25
D_889,Sales,office,143297.97
D_890,Sales,office,192185.5
D_891,Purchasing,office,59109.21
D_892,Accounting,store,314553.18
D_893,Administration,store,173714.24
D_894,Production,store,172661.64
D_895,Sales,office,216001.47
D_896,Purchasing,store,340490.38
D_897,Production,office,454168.97
D_898,Finance,office,365071.55
D_899,Marketing,store,423974.88
D_900,Account department,office,85363.12
D_901,Sales representatives,office,273107.69
D_902,Sales representatives,store,272336.17
D_903,Marketing,office,266876.73
D_904,Marketing,office,407256.51
D_905,Sales representatives,office,108562.31
D_906,Accounting,office,298904.54
D_907,Human Resources,store,126849.43
D_908,Sales,office,312458.57
D_909,Human Resources,office,302732.33
D_910,Accounting,store,113639.97
D_911,Designing department,store,234238.53
D_912,Designing department,office,62294.15
D_913,Sales representatives,office,180519.52
D_914,Marketing,office,108311.43
D_915,Human Resources,store,20452.76
D_916,Sales,store,57349.56
D_917,Marketing,store,488722.16
D_918,Production,office,463300.87
D_919,Production,office,496446.17
D_920,Sales,store,319281.04
D_921,Sales,office,392031.86
D_922,Sales,office,18240.66
D_923,Administration,office,492117.81
D_924,Purchasing,store,225560.95
D_925,Human Resources,office,406597.83
D_926,Human Resources,office,219628.72
D_927,Marketing,office,395375.01
D_928,Production,store,261719.34
D_929,IT,office,468288.23
D_930,Purchasing,office,73740.87
D_931,Production,store,142341.32
D_932,Sales,store,139963.39
D_933,Sales,office,106537.87
D_934,Production,store,59588.88
D_935,Sales representatives,office,30220.28
D_936,Accounting,store,296698.54
D_937,Sales,store,458988.05
D_938,IT,store,119342.56
D_939,Production,office,297820.14
D_940,Account department,office,352137.99
D_941,Account department,store,155906.04
D_942,Administration,office,49545.38
D_943,Administration,office,203474.1
D_944,Accounting,office,494447.75
D_945,Accounting,office,318961.16
D_946,Designing department,store,273321.55
D_947,Account department,store,26645.26
D_948,Account department,office,294662.97
D_949,Production,office,296599.02
D_950,IT,store,408528.28
D_951,Human Resources,store,475550.78
D_952,Human Resources,store,126911.79
D_953,Accounting,office,316699.15
D_954,Finance,office,185745.13
D_955,Account department,office,489440.83
D_956,Sales representatives,office,214390.81
D_957,Human Resources,store,262151.11
D_958,Administration,store,53958.72
D_959,Account department,office,307492.55
D_960,Human Resources,office,353720.19
D_961,Administration,office,450201.44
D_962,Human Resources,store,38729.53
D_963,IT,office,442832.98
D_964,Sales,office,321560.5
D_965,Production,office,445959.21
D_966,Sales representatives,office,315848.71
D_967,IT,office,462688.3
D_968,Finance,office,390660.57
D_969,Sales,office,407696.13
D_970,Account department,store,331069.72
D_971,Sales representatives,store,67039.46
D_972,Sales representatives,store,215196.83
D_973,Human Resources,store,240793.97
D_974,Production,office,81937.67
D_975,Finance,store,111208.99
D_976,Administration,office,75402.89
D_977,Account department,office,426477.59
D_978,Accounting,store,207077.66
D_979,Administration,store,448710.08
D_980,Account department,office,92304.5
D_981,IT,office,447051.7
D_982,Designing department,store,218631.18
D_983,Finance,store,217991.72
D_984,Marketing,office,59096.85
D_985,Account department,store,334852.76
D_986,Marketing,office,87451.23
D_987,Human Resources,store,447853.91
D_988,Sales representatives,office,466175.13
D_989,Sales,office,484200.68
D_990,Marketing,store,162587.01
D_991,Marketing,office,155323.4
